,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,N_A,N_B,S_min,H1_mean,R,H,RF_d,d,RF_f1,f1,f2,f3,W,X,Y,Z,RJ_d,P,E,F,RJ_r,m_kg,LSR,LZR,LZJ
0,10,10,17.2,14,90,60,14,4,M12,16,28,28,1.8,6,4,35,40,40,2,2,4.5,4,24,34,35,23,-,-,-,-,-,0.5,50,70,-
1,10,15,21.3,18,95,65,14,4,M12,16,32,32,2.0,6,4,38,45,45,2,2,4.5,4,29,39,40,28,-,-,-,-,-,1.0,50,70,-
2,10,20,26.9,25,105,75,14,4,M12,18,40,40,2.3,6,4,40,58,58,2,2,4.5,4,36,50,51,35,-,-,-,-,-,1.0,55,75,-
3,10,25,33.7,32,115,85,14,4,M12,18,46,46,2.6,6,4,40,68,68,2,2,4.5,4,43,57,58,42,-,-,-,-,-,1.0,55,75,-
4,10,32,42.4,38,140,100,18,4,M16,18,56,56,2.6,6,6,42,78,78,2,2,4.5,4,51,65,66,50,-,-,-,-,-,2.0,60,85,-
5,10,40,48.3,45,150,110,18,4,M16,18,64,64,2.6,7,6,45,88,88,2,2,4.5,4,61,75,76,60,-,-,-,-,-,2.0,60,85,-
6,10,50,60.3,57,165,125,18,4,M16,18,74,74,2.9,8,5,45,102,102,2,2,4.5,4,73,87,88,72,-,-,-,-,-,2.5,60,85,-
7,10,65,76.1,76,185,145,18,8,M16,18,92,92,2.9,10,6,45,122,122,2,2,4.5,4,95,109,110,94,-,-,-,-,-,3.0,60,85,-
8,10,80,88.9,89,200,160,18,8,M16,20,105,105,3.2,10,6,50,138,138,2,2,4.5,4,106,120,121,105,-,-,-,-,-,4.0,65,90,-
9,10,100,114.3,108,220,180,18,8,M16,20,131,131,3.6,12,8,52,158,158,2,2,5,4.5,129,149,150,128,-,-,-,-,-,4.5,65,90,-
10,10,125,139.7,133,250,210,18,8,M16,22,156,156,4.0,12,8,55,188,188,2,2,5,4.5,155,175,176,154,-,-,-,-,-,6.5,70,95,-
11,10,150,168.3,159,285,240,22,8,M20,22,184,184,4.5,12,10,55,212,212,2,2,5,4.5,183,203,204,182,-,-,-,-,-,7.5,75,105,-
12,10,200,219.1,219,340,295,22,8,M20,24,234,234,6.3,16,10,62,268,268,2,2,5,4.5,239,259,260,238,-,-,-,-,-,11.5,80,105,-
13,10,250,273.0,273,395,350,22,12,M20,26,292,292,6.3,16,12,70,320,320,2,2,5,4.5,292,312,313,291,-,-,-,-,-,15.5,80,110,-
14,10,300,323.9,325,445,400,22,12,M20,26,342,342,7.1,16,12,78,370,370,2,2,5,4.5,343,363,364,342,-,-,-,-,-,18.0,80,110,-
15,10,350,355.6,377,505,460,22,16,M20,26,385,402,7.1,16,12,82,430,430,2,2,5.5,5,395,421,422,394,-,-,-,-,-,24.5,80,110,-
16,10,400,406.4,426,565,515,26,16,M24,26,440,458,7.1,16,12,85,482,482,2,2,5.5,5,447,473,478,446,-,-,-,-,-,29.5,85,120,-
17,10,450,457.0,480,615,565,26,20,M24,28,488,510,7.1,16,12,87,532,532,2,2,5.5,5,497,523,524,496,-,-,-,-,-,34.0,90,125,-
18,10,500,508.0,530,670,620,26,20,M24,28,542,562,7.1,16,12,90,585,585,2,2,5.5,5,549,575,576,548,-,-,-,-,-,39.5,90,125,-
19,10,600,610.0,630,780,725,30,20,M27,28,642,660,7.1,18,12,95,685,685,2,2,5.5,5,649,675,676,648,-,-,-,-,-,56.0,95,130,-
20,10,700,711.0,720,895,840,30,24,M27,30,746,755,8.0,18,12,100,800,800,2,-,-,-,-,-,-,-,-,-,-,-,-,65.0,100,135,-
21,10,800,813.0,820,1015,950,33,24,M30,32,850,855,8.0,18,12,105,905,905,2,-,-,-,-,-,-,-,-,-,-,-,-,87.0,105,145,-
22,10,900,914.0,920,1115,1050,33,28,M30,34,950,954,10.0,20,12,110,1005,1005,2,-,-,-,-,-,-,-,-,-,-,-,-,106.0,110,150,-
23,10,1000,1016.0,1020,1230,1160,36,28,M33,34,1052,1054,10.0,20,16,120,1110,1110,2,-,-,-,-,-,-,-,-,-,-,-,-,123.0,115,155,-
24,10,1200,1219.0,1220,1455,1380,39,32,M36*3,38,1256,1256,11.0,25,16,130,1330,1330,2,-,-,-,-,-,-,-,-,-,-,-,-,184.0,125,165,-
25,10,1400,1422.0,1420,1675,1590,42,36,M39*3,42,1460,1460,12.0,25,16,145,1535,1535,2,-,-,-,-,-,-,-,-,-,-,-,-,252.0,135,185,-
26,10,1600,1626.0,1620,1915,1820,48,40,M45*3,46,1666,1666,14.0,25,16,160,1760,1760,2,-,-,-,-,-,-,-,-,-,-,-,-,363.0,145,210,-
27,10,1800,1829.0,1820,2115,2020,48,44,M45*3,50,1868,1866,15.0,30,16,170,1960,1960,2,-,-,-,-,-,-,-,-,-,-,-,-,445.5,155,215,-
28,10,2000,2032.0,2020,2325,2230,48,48,M45*3,54,2072,2070,16.0,30,16,180,2170,2170,2,-,-,-,-,-,-,-,-,-,-,-,-,558.0,160,225,-
29,16,10,17.2,14,90,60,14,4,M12,16,28,28,1.8,6,4,35,40,40,2,2,4.5,4,24,34,35,23,-,-,-,-,-,0.5,50,70,-
30,16,15,21.3,18,95,65,14,4,M12,16,32,32,2.0,6,4,38,45,45,2,2,4.5,4,29,39,40,28,-,-,-,-,-,1.0,50,70,-
31,16,20,26.9,25,105,75,14,4,M12,18,40,40,2.3,6,4,40,58,58,2,2,4.5,4,36,50,51,35,-,-,-,-,-,1.0,55,75,-
32,16,25,33.7,32,115,85,14,4,M12,18,46,46,2.6,6,4,40,68,68,2,2,4.5,4,43,57,58,42,-,-,-,-,-,1.0,55,75,-
33,16,32,42.4,38,140,100,18,4,M16,18,56,56,2.6,6,6,42,78,78,2,2,4.5,4,51,65,66,50,-,-,-,-,-,2.0,60,85,-
34,16,40,48.3,45,150,110,18,4,M16,18,64,64,2.6,7,6,45,88,88,2,2,4.5,4,61,75,76,60,-,-,-,-,-,2.0,60,85,-
35,16,50,60.3,57,165,125,18,4,M16,18,74,74,2.9,8,5,45,102,102,2,2,4.5,4,73,87,88,72,-,-,-,-,-,2.5,60,85,-
36,16,65,76.1,76,185,145,18,8,M16,18,92,92,2.9,10,6,45,122,122,2,2,4.5,4,95,109,110,94,-,-,-,-,-,3.0,60,85,-
37,16,80,88.9,89,200,160,18,8,M16,20,105,105,3.2,10,6,50,138,138,2,2,4.5,4,106,120,121,105,-,-,-,-,-,4.0,65,90,-
38,16,100,114.3,108,220,180,18,8,M16,20,131,131,3.6,12,8,52,158,158,2,2,5,4.5,129,149,150,128,-,-,-,-,-,4.5,65,90,-
39,16,125,139.7,133,250,210,18,8,M16,22,156,156,4.0,12,8,55,188,188,2,2,5,4.5,155,175,176,154,-,-,-,-,-,6.5,70,95,-
40,16,150,168.3,159,285,240,22,8,M20,22,184,184,4.5,12,10,55,212,212,2,2,5,4.5,183,203,204,182,-,-,-,-,-,7.5,75,105,-
41,16,200,219.1,219,340,295,22,12,M20,24,235,235,6.3,16,10,62,268,268,2,2,5,4.5,239,259,260,238,-,-,-,-,-,11.0,80,105,-
42,16,250,273.0,273,405,355,26,12,M24,26,292,292,6.3,16,12,70,320,320,2,2,5,4.5,292,312,313,291,-,-,-,-,-,16.5,85,120,-
43,16,300,323.9,325,460,410,26,12,M24,28,344,344,7.1,16,12,78,378,378,2,2,5,4.5,343,363,364,342,-,-,-,-,-,22.0,90,125,-
44,16,350,355.6,377,520,470,26,16,M24,30,390,410,8.0,16,12,82,428,428,2,2,5.5,5,395,421,422,394,-,-,-,-,-,32.0,95,130,-
45,16,400,406.4,426,580,525,30,16,M27,32,445,464,8.0,16,12,85,490,490,2,2,5.5,5,447,473,478,446,-,-,-,-,-,40.0,100,140,-
46,16,450,457.0,480,640,585,30,20,M27,40,490,512,8.0,16,12,87,550,550,2,2,5.5,5,497,523,524,496,-,-,-,-,-,54.5,120,155,-
47,16,500,508.0,530,715,650,33,20,M30,44,548,578,8.0,16,12,90,610,610,2,2,5.5,5,549,575,576,548,-,-,-,-,-,74.0,130,170,-
48,16,600,610.0,630,840,770,36,20,M33,54,652,670,8.8,18,12,95,725,725,2,2,5.5,5,649,675,676,648,-,-,-,-,-,116.5,155,200,-
49,16,700,711.0,720,910,840,36,24,M33,36,755,759,8.8,18,12,100,795,795,2,-,-,-,-,-,-,-,-,-,-,-,-,87.0,115,160,-
50,16,800,813.0,820,1025,950,39,24,M36*3,38,855,855,10.0,20,12,105,900,900,2,-,-,-,-,-,-,-,-,-,-,-,-,111.0,125,170,-
51,16,900,914.0,920,1125,1050,39,28,M36*3,40,955,954,10.0,20,12,110,1000,1000,2,-,-,-,-,-,-,-,-,-,-,-,-,129.0,130,170,-
52,16,1000,1016.0,1020,1255,1170,42,28,M39*3,42,1058,1060,10.0,22,16,120,1115,1115,2,-,-,-,-,-,-,-,-,-,-,-,-,169.0,135,185,-
53,16,1200,1219.0,1220,1485,1390,48,32,M45*3,48,1262,1260,12.5,30,16,130,1330,1330,2,-,-,-,-,-,-,-,-,-,-,-,-,251.0,150,215,-
54,16,1400,1422.0,1420,1685,1590,48,36,M45*3,52,1465,1465,14.2,30,16,145,1530,1530,2,-,-,-,-,-,-,-,-,-,-,-,-,329.0,160,220,-
55,16,1600,1626.0,1620,1930,1820,55,40,M52*4,58,1668,1668,16.0,35,16,160,1750,1750,2,-,-,-,-,-,-,-,-,-,-,-,-,476.0,175,245,-
56,16,1800,1829.0,1820,2130,2020,55,44,M52*4,62,1870,1870,17.5,35,16,170,1950,1950,2,-,-,-,-,-,-,-,-,-,-,-,-,582.0,185,255,-
57,16,2000,2032.0,2020,2345,2230,62,48,M56*4,66,2072,2072,20.0,40,16,180,2150,2150,2,-,-,-,-,-,-,-,-,-,-,-,-,720.0,195,270,-
58,25,10,17.2,14,90,60,14,4,M12,16,28,28,1.8,6,4,35,40,40,2,2,4.5,4,24,34,35,23,-,-,-,-,-,0.5,-,70,-
59,25,15,21.3,18,95,65,14,4,M12,16,32,32,2.0,6,4,38,45,45,2,2,4.5,4,29,39,40,28,-,-,-,-,-,1.0,-,70,-
60,25,20,26.9,25,105,75,14,4,M12,18,40,40,2.3,6,4,40,58,58,2,2,4.5,4,36,50,51,35,-,-,-,-,-,1.0,-,75,-
61,25,25,33.7,32,115,85,14,4,M12,18,46,46,2.6,6,4,40,68,68,2,2,4.5,4,43,57,58,42,-,-,-,-,-,1.0,-,75,-
62,25,32,42.4,38,140,100,18,4,M16,18,56,56,2.6,6,6,42,78,78,2,2,4.5,4,51,65,66,50,-,-,-,-,-,2.0,-,85,-
63,25,40,48.3,45,150,110,18,4,M16,18,64,64,2.6,7,6,45,88,88,2,2,4.5,4,61,75,76,60,-,-,-,-,-,2.0,-,85,-
64,25,50,60.3,57,165,125,18,4,M16,20,75,75,2.9,8,6,48,102,102,2,2,4.5,4,73,87,88,72,-,-,-,-,-,3.0,-,90,-
65,25,65,76.1,76,185,145,18,8,M16,22,90,90,2.9,10,6,52,122,122,2,2,4.5,4,95,109,110,94,-,-,-,-,-,4.0,-,95,-
66,25,80,88.9,89,200,160,18,8,M16,24,105,105,3.2,12,8,58,138,138,2,2,4.5,4,106,120,121,105,-,-,-,-,-,5.0,-,95,-
67,25,100,114.3,108,235,190,22,8,M20,24,134,134,3.6,12,8,65,162,162,2,2,5,4.5,129,149,150,128,-,-,-,-,-,6.5,-,105,-
68,25,125,139.7,133,270,220,26,8,M24,26,162,162,4.0,12,8,68,188,188,2,2,5,4.5,155,175,176,154,-,-,-,-,-,9.0,-,120,-
69,25,150,168.3,159,300,250,26,8,M24,28,192,192,4.5,12,10,75,218,218,2,2,5,4.5,183,203,204,182,-,-,-,-,-,11.5,-,125,-
70,25,200,219.1,219,360,310,26,12,M24,30,244,244,6.3,16,10,80,278,278,2,2,5,4.5,239,259,260,238,-,-,-,-,-,17.0,-,130,-
71,25,250,273.0,273,425,370,30,12,M27,32,298,298,7.1,18,12,88,335,335,2,2,5,4.5,292,312,313,291,-,-,-,-,-,24.0,-,140,-
72,25,300,323.9,325,485,430,30,16,M27,34,352,352,8.0,18,12,92,395,395,2,2,5,4.5,343,363,364,342,-,-,-,-,-,31.5,-,145,-
73,25,350,355.6,377,555,490,33,16,M30,38,398,420,8.0,20,12,100,450,450,2,2,5.5,5,395,421,422,394,-,-,-,-,-,48.0,-,155,-
74,25,400,406.4,426,620,550,36,16,M33,40,452,472,8.8,20,12,110,505,505,2,2,5.5,5,447,473,478,446,-,-,-,-,-,63.0,-,170,-
