,PN,DN,D,K,L,n,Th,C,N,R,S_min,S1,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,RJ_d,P,E,F,RJ_r,LSR,LZR,LZJ
0,6,10,75,50,11,4,M10,12,20,4,3.0,5.0,35,2,35,2,4.5,4,24,34,35,23,-,-,-,-,-,40,55,-
1,6,15,80,55,11,4,M10,12,26,4,3.0,5.5,40,2,40,2,4.5,4,29,39,40,28,-,-,-,-,-,40,55,-
2,6,20,90,65,11,4,M10,14,34,4,3.5,7.0,50,2,50,2,4.5,4,36,50,51,35,-,-,-,-,-,45,60,-
3,6,25,100,75,11,4,M10,14,44,4,4.0,9.5,60,2,60,2,4.5,4,43,57,58,42,-,-,-,-,-,45,60,-
4,6,32,120,90,14,4,M12,14,54,6,4.0,11.0,70,2,70,2,4.5,4,51,65,66,50,-,-,-,-,-,50,65,-
5,6,40,130,100,14,4,M12,14,64,6,4.5,12.0,80,2,80,2,4.5,4,61,75,76,60,-,-,-,-,-,50,65,-
6,6,50,140,110,14,4,M12,14,74,6,5.0,12.0,90,2,90,2,4.5,4,73,87,88,72,-,-,-,-,-,50,65,-
7,6,65,160,130,14,4,M12,14,94,6,6.0,14.5,110,2,110,2,4.5,4,95,109,110,94,-,-,-,-,-,50,65,-
8,6,80,190,150,18,4,M16,16,110,8,7.0,15.0,128,2,128,2,4.5,4,106,120,121,105,-,-,-,-,-,55,80,-
9,6,100,210,170,18,4,M16,16,130,8,8.0,15.0,148,2,148,2,5,4.5,129,149,150,128,-,-,-,-,-,55,80,-
10,6,125,240,200,18,8,M16,18,160,8,9.0,17.5,178,2,178,2,5,4.5,155,175,176,154,-,-,-,-,-,60,85,-
11,6,150,265,225,18,8,M16,18,182,10,10.0,16.0,202,2,202,2,5,4.5,183,203,204,182,-,-,-,-,-,60,85,-
12,6,200,320,280,18,8,M16,20,238,10,11.0,19.0,258,2,258,2,5,4.5,239,259,260,238,-,-,-,-,-,65,90,-
13,6,250,375,335,18,12,M16,22,284,12,11.0,17.0,312,2,312,2,5,4.5,292,312,313,291,-,-,-,-,-,70,95,-
14,6,300,440,395,22,12,M20,22,342,12,12.0,21.0,365,2,365,2,5,4.5,343,363,364,342,-,-,-,-,-,75,105,-
15,6,350,490,445,22,12,M20,22,392,12,14.0,21.0,415,2,415,2,5.5,5,395,421,422,394,-,-,-,-,-,75,105,-
16,6,400,540,495,22,16,M20,22,442,12,15.0,21.0,465,2,465,2,5.5,5,447,473,478,446,-,-,-,-,-,75,105,-
17,6,450,595,550,22,16,M20,22,494,12,16.0,22.0,520,2,520,2,5.5,5,497,523,524,496,-,-,-,-,-,75,105,-
