,PN,DN,D,K,L,n,Th,C,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,RJ_d,P,E,F,RJ_R,m_kg
0,"2,5",10,75,50,11,4,M10,12,35,2,35,2,4.5,4,24,34,35,23,-,-,-,-,-,0.5
1,"2,5",15,80,55,11,4,M10,12,40,2,40,2,4.5,4,29,39,40,28,-,-,-,-,-,0.5
2,"2,5",20,90,65,11,4,M10,14,50,2,50,2,4.5,4,36,50,51,35,-,-,-,-,-,0.5
3,"2,5",25,100,75,11,4,M10,14,60,2,60,2,4.5,4,43,57,58,42,-,-,-,-,-,1.0
4,"2,5",32,120,90,14,4,M12,14,70,2,70,2,4.5,4,51,65,66,50,-,-,-,-,-,1.0
5,"2,5",40,130,100,14,4,M12,14,80,2,80,2,4.5,4,61,75,76,60,-,-,-,-,-,1.5
6,"2,5",50,140,110,14,4,M12,14,90,2,90,2,4.5,4,73,87,88,72,-,-,-,-,-,1.5
7,"2,5",65,160,130,14,4,M12,14,110,2,110,2,4.5,4,95,109,110,94,-,-,-,-,-,2.0
8,"2,5",80,190,150,18,4,M16,16,128,2,128,2,4.5,4,106,120,121,105,-,-,-,-,-,3.5
9,"2,5",100,210,170,18,4,M16,16,148,2,148,2,5,4.5,129,149,150,128,-,-,-,-,-,4.0
10,"2,5",125,240,200,18,8,M16,18,178,2,178,2,5,4.5,155,175,176,154,-,-,-,-,-,6.0
11,"2,5",150,265,225,18,8,M16,18,202,2,202,2,5,4.5,183,203,204,182,-,-,-,-,-,7.5
12,"2,5",200,320,280,18,8,M16,20,258,2,258,2,5,4.5,239,259,260,238,-,-,-,-,-,12.5
13,"2,5",250,375,335,18,12,M16,22,312,2,312,2,5,4.5,292,312,313,291,-,-,-,-,-,18.5
14,"2,5",300,440,395,22,12,M20,22,365,2,365,2,5,4.5,343,363,364,342,-,-,-,-,-,25.5
15,"2,5",350,490,445,22,12,M20,22,415,2,415,2,5.5,5,395,421,422,394,-,-,-,-,-,32.0
16,"2,5",400,540,495,22,16,M20,22,465,2,465,2,5.5,5,447,473,478,446,-,-,-,-,-,38.5
17,"2,5",450,595,550,22,16,M20,24,520,2,520,2,5.5,5,497,523,524,496,-,-,-,-,-,51.0
18,"2,5",500,645,600,22,20,M20,24,570,2,570,2,5.5,5,549,575,576,548,-,-,-,-,-,60.1
19,"2,5",600,755,705,26,20,M24,30,670,2,670,2,5.5,5,649,675,676,648,-,-,-,-,-,103.0
20,"2,5",700,860,810,26,24,M24,40,775,2,-,-,-,-,-,-,-,-,-,-,-,-,-,178.5
21,"2,5",800,975,920,30,24,M27,44,880,2,-,-,-,-,-,-,-,-,-,-,-,-,-,252.0
22,"2,5",900,1075,1020,30,24,M27,48,980,2,-,-,-,-,-,-,-,-,-,-,-,-,-,335.5
23,"2,5",1000,1175,1120,30,28,M27,52,1080,2,-,-,-,-,-,-,-,-,-,-,-,-,-,434.5
24,"2,5",1200,1375,1320,30,32,M27,44,1280,2,-,-,-,-,-,-,-,-,-,-,-,-,-,505.0
25,"2,5",1400,1575,1520,30,36,M27,48,1480,2,-,-,-,-,-,-,-,-,-,-,-,-,-,724.5
26,"2,5",1600,1790,1730,30,40,M27,51,1690,2,-,-,-,-,-,-,-,-,-,-,-,-,-,996.0
27,"2,5",1800,1990,1930,30,44,M27,54,1890,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1305.5
28,"2,5",2000,2190,2130,30,48,M27,58,2090,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1699.5
29,6,10,75,50,11,4,M10,12,35,2,35,2,4.5,4,24,34,35,23,-,-,-,-,-,0.5
30,6,15,80,55,11,4,M10,12,40,2,40,2,4.5,4,29,39,40,28,-,-,-,-,-,0.5
31,6,20,90,65,11,4,M10,14,50,2,50,2,4.5,4,36,50,51,35,-,-,-,-,-,0.5
32,6,25,100,75,11,4,M10,14,60,2,60,2,4.5,4,43,57,58,42,-,-,-,-,-,1.0
33,6,32,120,90,14,4,M12,14,70,2,70,2,4.5,4,51,65,66,50,-,-,-,-,-,1.0
34,6,40,130,100,14,4,M12,14,80,2,80,2,4.5,4,61,75,76,60,-,-,-,-,-,1.5
35,6,50,140,110,14,4,M12,14,90,2,90,2,4.5,4,73,87,88,72,-,-,-,-,-,1.5
36,6,65,160,130,14,4,M12,14,110,2,110,2,4.5,4,95,109,110,94,-,-,-,-,-,2.0
37,6,80,190,150,18,4,M16,16,128,2,128,2,4.5,4,106,120,121,105,-,-,-,-,-,3.5
38,6,100,210,170,18,4,M16,16,148,2,148,2,5,4.5,129,149,150,128,-,-,-,-,-,4.0
39,6,125,240,200,18,8,M16,18,178,2,178,2,5,4.5,155,175,176,154,-,-,-,-,-,6.0
40,6,150,265,225,18,8,M16,18,202,2,202,2,5,4.5,183,203,204,182,-,-,-,-,-,7.5
41,6,200,320,280,18,8,M16,20,258,2,258,2,5,4.5,239,259,260,238,-,-,-,-,-,12.5
42,6,250,375,335,18,12,M16,22,312,2,312,2,5,4.5,292,312,313,291,-,-,-,-,-,18.5
43,6,300,440,395,22,12,M20,22,365,2,365,2,5,4.5,343,363,364,342,-,-,-,-,-,25.5
44,6,350,490,445,22,12,M20,22,415,2,415,2,5.5,5,395,421,422,394,-,-,-,-,-,32.0
45,6,400,540,495,22,16,M20,22,465,2,465,2,5.5,5,447,473,478,446,-,-,-,-,-,38.5
46,6,450,595,550,22,16,M20,24,520,2,520,2,5.5,5,497,523,524,496,-,-,-,-,-,51.0
47,6,500,645,600,22,20,M20,24,570,2,570,2,5.5,5,549,575,576,548,-,-,-,-,-,60.03
48,6,600,755,705,26,20,M24,30,670,2,670,2,5.5,5,649,675,676,648,-,-,-,-,-,103.0
49,6,700,860,810,26,24,M24,40,775,2,-,-,-,-,-,-,-,-,-,-,-,-,-,178.5
50,6,800,975,920,30,24,M27,44,880,2,-,-,-,-,-,-,-,-,-,-,-,-,-,252.0
51,6,900,1075,1020,30,24,M27,48,980,2,-,-,-,-,-,-,-,-,-,-,-,-,-,335.5
52,6,1000,1175,1120,30,28,M27,52,1080,2,-,-,-,-,-,-,-,-,-,-,-,-,-,434.5
53,6,1200,1405,1340,33,32,M30,60,1295,2,-,-,-,-,-,-,-,-,-,-,-,-,-,717.5
54,6,1400,1630,1560,36,36,M33,68,1510,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1094.0
55,6,1600,1830,1760,36,40,M33,76,1710,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1545.0
56,6,1800,2045,1970,39,44,M36*3,84,1920,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2131.0
57,6,2000,2265,2180,42,48,M39*3,92,2125,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2862.0
58,10,10,90,60,14,4,M12,16,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,1.0
59,10,15,95,65,14,4,M12,16,45,2,45,2,4.5,4,29,39,40,28,-,-,-,-,-,1.0
60,10,20,105,75,14,4,M12,18,58,2,58,2,4.5,4,36,50,51,35,-,-,-,-,-,1.0
61,10,25,115,85,14,4,M12,18,68,2,68,2,4.5,4,43,57,58,42,-,-,-,-,-,1.5
62,10,32,140,100,18,4,M16,18,78,2,78,2,4.5,4,51,65,66,50,-,-,-,-,-,2.0
63,10,40,150,110,18,4,M16,18,88,2,88,2,4.5,4,61,75,76,60,-,-,-,-,-,2.5
64,10,50,165,125,18,4,M16,18,102,2,102,2,4.5,4,73,87,88,72,-,-,-,-,-,3.0
65,10,65,185,145,18,8,M16,18,122,2,122,2,4.5,4,95,109,110,94,-,-,-,-,-,3.5
66,10,80,200,160,18,8,M16,20,138,2,138,2,4.5,4,106,120,121,105,-,-,-,-,-,4.5
67,10,100,220,180,18,8,M16,20,158,2,158,2,5,4.5,129,149,150,128,-,-,-,-,-,5.5
68,10,125,250,210,18,8,M16,22,188,2,188,2,5,4.5,155,175,176,154,-,-,-,-,-,8.0
69,10,150,285,240,22,8,M20,22,212,2,212,2,5,4.5,183,203,204,182,-,-,-,-,-,10.5
70,10,200,340,295,22,8,M20,24,268,2,268,2,5,4.5,239,259,260,238,-,-,-,-,-,16.5
71,10,250,395,350,22,12,M20,26,320,2,320,2,5,4.5,292,312,313,291,-,-,-,-,-,24.0
72,10,300,445,400,22,12,M20,26,370,2,370,2,5,4.5,343,363,364,342,-,-,-,-,-,31.0
73,10,350,505,460,22,16,M20,26,430,2,430,2,5.5,5,395,421,422,394,-,-,-,-,-,39.5
74,10,400,565,515,26,16,M24,26,482,2,482,2,5.5,5,447,473,478,446,-,-,-,-,-,49.5
75,10,450,615,565,26,20,M24,28,532,2,532,2,5.5,5,497,523,524,496,-,-,-,-,-,63.0
76,10,500,670,620,26,20,M24,28,585,2,585,2,5.5,5,549,575,576,548,-,-,-,-,-,75.5
77,10,600,780,725,30,20,M27,34,685,2,685,2,5.5,5,649,675,676,648,-,-,-,-,-,124.0
78,10,700,895,840,30,24,M27,38,800,2,-,-,-,-,-,-,-,-,-,-,-,-,-,182.5
79,10,800,1015,950,33,24,M30,42,905,2,-,-,-,-,-,-,-,-,-,-,-,-,-,260.0
80,10,900,1115,1050,33,28,M30,46,1005,2,-,-,-,-,-,-,-,-,-,-,-,-,-,344.0
