,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,B2_A,B2_B,U,N,H,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,c_num,RF_d.1,P,E,F,RJ_r,m_kg
0,150,class_150,15,"1/2""",21.3,-,90,60.3,16,M14,4,9.6,22.5,-,10,30,14,34.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91
1,150,class_150,20,"3/4""",26.9,-,100,69.9,16,M14,4,11.2,27.5,-,11,38,14,42.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91
2,150,class_150,25,"1""",33.7,-,110,79.4,16,M14,4,12.7,34.5,-,13,49,16,50.8,2,-,-,-,-,-,-,-,-,R15,63.5,47.63,6.35,8.74,0.8,0.91
3,150,class_150,32,"1 1/4""",42.4,-,115,88.9,16,M14,4,14.3,43.5,-,14,59,19,63.5,2,-,-,-,-,-,-,-,-,R17,73,57.15,6.35,8.74,0.8,1.36
4,150,class_150,40,"1 1/2""",48.3,-,125,98.4,16,M14,4,15.9,49.5,-,16,65,21,73.0,2,-,-,-,-,-,-,-,-,R19,82.5,65.07,6.35,8.74,0.8,1.36
5,150,class_150,50,"2""",60.3,-,150,120.7,18,M16,4,17.5,61.5,-,17,78,24,92.1,2,-,-,-,-,-,-,-,-,R22,102,82.55,6.35,8.74,0.8,2.27
6,150,class_150,65,"2 1/2""",76.1,-,180,139.7,18,M16,4,20.7,77.6,-,19,90,27,104.8,2,-,-,-,-,-,-,-,-,R25,121,101.6,6.35,8.74,0.8,3.18
7,150,class_150,80,"3""",88.9,-,190,152.4,18,M16,4,22.3,90.5,-,21,108,29,127.0,2,-,-,-,-,-,-,-,-,R29,133,114.3,6.35,8.74,0.8,6.63
8,300,class_300,15,"1/2""",21.3,-,95,66.7,16,M14,4,12.7,22.5,-,10,38,21,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R11,51,34.14,5.54,7.14,0.8,1.36
9,300,class_300,20,"3/4""",26.9,-,115,82.6,18,M16,4,14.3,27.5,-,11,48,24,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R13,63.5,42.88,6.35,8.74,0.8,1.36
10,300,class_300,25,"1""",33.7,-,125,88.9,18,M16,4,15.9,34.5,-,13,54,25,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,70,50.8,6.35,8.74,0.8,1.36
11,300,class_300,32,"1 1/4""",42.4,-,135,98.4,18,M16,4,17.5,43.5,-,14,64,25,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,79.5,60.33,6.35,8.74,0.8,1.82
12,300,class_300,40,"1 1/2""",48.3,-,155,114.3,22,M20,4,19.1,49.5,-,16,70,29,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,90.5,68.27,6.35,8.74,0.8,2.72
13,300,class_300,50,"2""",60.3,-,165,127.0,18,M16,8,20.7,61.5,-,17,84,32,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R23,108,82.55,7.92,11.91,0.8,3.18
14,300,class_300,65,"2 1/2""",76.1,-,190,149.2,22,M20,8,23.9,77.6,-,19,100,37,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R26,127,101.6,7.92,11.91,0.8,4.54
15,300,class_300,80,"3""",88.9,-,210,168.3,22,M20,8,27.0,90.5,-,21,117,41,127.0,2,2,138,108,127,128.6,106.4,7,5,R31,146,123.83,7.92,11.91,0.8,5.9
16,600,class_600,15,"1/2""",21.3,-,95,66.7,16,M14,4,14.3,22.5,-,10,38,22,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R11,51,34.14,5.54,7.14,0.8,0.91
17,600,class_600,20,"3/4""",26.9,-,115,82.6,18,M16,4,15.9,27.5,-,11,48,25,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R13,63.5,42.88,6.35,8.74,0.8,1.36
18,600,class_600,25,"1""",33.7,-,125,88.9,18,M16,4,17.5,34.5,-,13,54,27,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,70,50.8,6.35,8.74,0.8,1.59
19,600,class_600,32,"1 1/4""",42.4,-,135,98.4,18,M16,4,20.7,43.5,-,14,64,29,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,79.5,60.33,6.35,8.74,0.8,2.04
20,600,class_600,40,"1 1/2""",48.3,-,155,114.3,22,M20,4,22.3,49.5,-,16,70,32,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,90.5,68.27,6.35,8.74,0.8,2.95
21,600,class_600,50,"2""",60.3,-,165,127.0,18,M16,8,25.4,61.5,-,17,84,37,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R23,108,82.55,7.92,11.91,0.8,3.63
22,600,class_600,65,"2 1/2""",76.1,-,190,149.2,22,M20,8,28.6,77.6,-,19,100,41,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R26,127,101.6,7.92,11.91,0.8,5.45
23,600,class_600,80,"3""",88.9,-,210,168.3,22,M20,8,31.8,90.5,-,21,117,46,127.0,2,2,138,108,127,128.6,106.4,7,5,R31,146,123.83,7.92,11.91,0.8,6.81
24,900,class_900,15,"1/2""",21.3,-,120,82.6,22,M20,4,22.3,22.5,-,10,38,32,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R12,60.5,39.67,6.35,8.74,0.8,2.72
25,900,class_900,20,"3/4""",26.9,-,130,88.9,22,M20,4,25.4,27.5,-,11,44,35,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R14,66.5,44.45,6.35,8.74,0.8,2.72
26,900,class_900,25,"1""",33.7,-,150,101.6,26,M24,4,28.6,34.5,-,13,52,41,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,71.5,50.8,6.35,8.74,0.8,3.41
27,900,class_900,32,"1 1/4""",42.4,-,160,111.1,26,M24,4,28.6,43.5,-,14,64,41,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,81,60.33,6.35,8.74,0.8,4.54
28,900,class_900,40,"1 1/2""",48.3,-,180,123.8,30,M27,4,31.8,49.5,-,16,70,44,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,92,68.27,6.35,8.74,0.8,6.36
29,900,class_900,50,"2""",60.3,-,215,165.1,26,M24,8,38.1,61.5,-,17,105,57,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R24,124,95.25,7.92,11.91,0.8,9.99
30,900,class_900,65,"2 1/2""",76.1,-,245,190.5,30,M27,8,41.3,77.6,-,19,124,64,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R27,137,107.95,7.92,11.91,0.8,16.34
