,Class,PN,DN2,DN,A1,D,K,L,n,Th,C,N,H,T,V,LW,kg,RF_d,RF_f1
0,150,class_150,15,"1/2""",21.3,90,60.3,16,4,M14,9.6,30,14,-,-,"Rc/Rp/NPT_1/2""",0.45,34.9,2
1,150,class_150,20,"3/4""",26.9,100,69.9,16,4,M14,11.2,38,14,-,-,"Rc/Rp/NPT_3/4""",0.68,42.9,2
2,150,class_150,25,"1""",33.7,110,79.4,16,4,M14,12.7,49,16,-,-,"Rc/Rp/NPT_1""",0.91,50.8,2
3,150,class_150,32,"1 1/4""",42.4,115,88.9,16,4,M14,14.3,59,19,-,-,"Rc/Rp/NPT_1 1/4""",1.14,63.5,2
4,150,class_150,40,"1 1/2""",48.3,125,98.4,16,4,M14,15.9,65,21,-,-,"Rc/Rp/NPT_1 1/2""",1.36,73.0,2
5,150,class_150,50,"2""",60.3,150,120.7,18,4,M16,17.5,78,24,-,-,"Rc/Rp/NPT_2""",2.27,92.1,2
6,150,class_150,65,"2 1/2""",76.1,180,139.7,18,4,M16,20.7,90,27,-,-,"Rc/Rp/NPT_2 1/2""",3.63,104.8,2
7,150,class_150,80,"3""",88.9,190,152.4,18,4,M16,22.3,108,29,-,-,"Rc/Rp/NPT_3""",4.54,127.0,2
8,150,class_150,100,"4""",114.3,230,190.5,18,8,M16,22.3,135,32,-,-,"Rc/Rp/NPT_4""",5.9,157.2,2
9,150,class_150,125,"5""",139.7,255,215.9,22,8,M20,22.3,164,35,-,-,"Rc/Rp/NPT_5""",6.81,185.7,2
10,150,class_150,150,"6""",168.3,280,241.3,22,8,M20,23.9,192,38,-,-,"Rc/Rp/NPT_6""",8.85,215.9,2
11,300,class_300,15,"1/2""",21.3,95,66.7,16,4,M14,12.7,38,21,16,23.6,"Rc/Rp/NPT_1/2""",0.68,34.9,2
12,300,class_300,20,"3/4""",26.9,115,82.6,18,4,M16,14.3,48,24,16,29,"Rc/Rp/NPT_3/4""",1.14,42.9,2
13,300,class_300,25,"1""",33.7,125,88.9,18,4,M16,15.9,54,25,18,35.8,"Rc/Rp/NPT_1""",1.36,50.8,2
14,300,class_300,32,"1 1/4""",42.4,135,98.4,18,4,M16,17.5,64,25,21,44.4,"Rc/Rp/NPT_1 1/4""",2.04,63.5,2
15,300,class_300,40,"1 1/2""",48.3,155,114.3,22,4,M20,19.1,70,29,23,50.3,"Rc/Rp/NPT_1 1/2""",2.95,73.0,2
16,300,class_300,50,"2""",60.3,165,127.0,18,8,M16,20.7,84,32,29,63.5,"Rc/Rp/NPT_2""",3.18,92.1,2
17,300,class_300,65,"2 1/2""",76.1,190,149.2,22,8,M20,23.9,100,37,32,76.2,"Rc/Rp/NPT_2 1/2""",4.54,104.8,2
18,300,class_300,80,"3""",88.9,210,168.3,22,8,M20,27.0,117,41,32,92.2,"Rc/Rp/NPT_3""",6.36,127.0,2
19,300,class_300,100,"4""",114.3,255,200.0,22,8,M20,30.2,146,46,37,117.6,"Rc/Rp/NPT_4""",10.9,157.2,2
20,300,class_300,125,"5""",139.7,280,235.0,22,8,M20,33.4,178,49,43,144.4,"Rc/Rp/NPT_5""",14.07,185.7,2
21,300,class_300,150,"6""",168.3,320,269.9,22,12,M20,35.0,206,51,47,171.4,"Rc/Rp/NPT_6""",16.34,215.9,2
