,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,N_A,N_B,H,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,c_num,RJ_d,P,E,F,RJ_R,m_kg,LSR,LZR,LZM,LZJ
0,150,class_150,15,"1/2""",21.3,-,90,60.3,16,M14,4,9.6,30,-,229,34.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3,50,65,-,-
1,150,class_150,20,"3/4""",26.9,-,100,69.9,16,M14,4,11.2,38,-,229,42.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.94,50,70,-,-
2,150,class_150,25,"1""",33.7,-,110,79.4,16,M14,4,12.7,49,-,229,50.8,2,-,-,-,-,-,-,-,-,R15,63.5,47.63,6.35,8.74,0.8,3.04,55,70,-,80
3,150,class_150,32,"1 1/4""",42.4,-,115,88.9,16,M14,4,14.3,59,-,229,63.5,2,-,-,-,-,-,-,-,-,R17,73,57.15,6.35,8.74,0.8,3.96,55,75,-,85
4,150,class_150,40,"1 1/2""",48.3,-,125,98.4,16,M14,4,15.9,65,-,229,73.0,2,-,-,-,-,-,-,-,-,R19,82.5,65.07,6.35,8.74,0.8,4.62,60,80,-,90
5,150,class_150,50,"2""",60.3,-,150,120.7,18,M16,4,17.5,78,-,229,92.1,2,-,-,-,-,-,-,-,-,R22,102,82.55,6.35,8.74,0.8,6.43,65,85,-,100
6,150,class_150,65,"2 1/2""",76.1,-,180,139.7,18,M16,4,20.7,90,-,229,104.8,2,-,-,-,-,-,-,-,-,R25,121,101.6,6.35,8.74,0.8,8.25,70,95,-,105
7,150,class_150,80,"3""",88.9,-,190,152.4,18,M16,4,22.3,108,-,229,127.0,2,-,-,-,-,-,-,-,-,R29,133,114.3,6.35,8.74,0.8,11.22,75,95,-,105
8,150,class_150,100,"4""",114.3,-,230,190.5,18,M16,8,22.3,135,-,229,157.2,2,-,-,-,-,-,-,-,-,R36,171,149.23,6.35,8.74,0.8,15.67,75,95,-,105
9,150,class_150,125,"5""",139.7,-,255,215.9,22,M20,8,22.3,164,-,305,185.7,2,-,-,-,-,-,-,-,-,R40,194,171.45,6.35,8.74,0.8,25.01,80,110,-,115
10,150,class_150,150,"6""",168.3,-,280,241.3,22,M20,8,23.9,192,-,305,215.9,2,-,-,-,-,-,-,-,-,R43,219,193.68,6.35,8.74,0.8,30.35,85,110,-,120
11,150,class_150,200,"8""",219.1,-,345,298.5,22,M20,8,27.0,246,-,305,269.9,2,-,-,-,-,-,-,-,-,R48,273,247.65,6.35,8.74,0.8,45.48,90,115,-,125
12,150,class_150,250,"10""",273.0,-,405,362.0,26,M24,12,28.6,305,-,305,323.8,2,-,-,-,-,-,-,-,-,R52,330,304.8,6.35,8.74,0.8,63.79,100,130,-,140
13,150,class_150,300,"12""",323.9,-,485,431.8,26,M24,12,30.2,365,-,305,381.0,2,-,-,-,-,-,-,-,-,R56,406,381,6.35,8.74,0.8,94.79,100,135,-,145
14,150,class_150,350,"14""",355.6,-,535,476.3,30,M27,12,33.4,400,-,305,412.8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.42,110,150,-,155
15,150,class_150,400,"16""",406.4,-,595,539.8,30,M27,16,35.0,457,-,305,469.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147.89,115,150,-,160
16,150,class_150,450,"18""",457.0,-,635,577.9,33,M30,16,38.1,505,-,305,533.4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165.11,125,165,-,175
17,150,class_150,500,"20""",508.0,-,700,635.0,33,M30,20,41.3,559,-,305,584.2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201.22,130,170,-,180
18,150,class_150,600,"24""",610.0,-,815,749.3,36,M33,20,46.1,663,-,305,692.2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,261.37,145,190,-,200
19,300,class_300,15,"1/2""",21.3,-,95,66.7,16,M14,4,12.7,38,-,229,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R11,51,34.14,5.54,7.14,0.8,2.21,-,70,75,80
20,300,class_300,20,"3/4""",26.9,-,115,82.6,18,M16,4,14.3,48,-,229,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R13,63.5,42.88,6.35,8.74,0.8,3.47,-,80,85,90
21,300,class_300,25,"1""",33.7,-,125,88.9,18,M16,4,15.9,54,-,229,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,70,50.8,6.35,8.74,0.8,4.2,-,85,90,95
22,300,class_300,32,"1 1/4""",42.4,-,135,98.4,18,M16,4,17.5,64,-,229,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,79.5,60.33,6.35,8.74,0.8,5.44,-,85,90,95
23,300,class_300,40,"1 1/2""",48.3,-,155,114.3,22,M20,4,19.1,70,-,229,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,90.5,68.27,6.35,8.74,0.8,6.57,-,100,105,110
24,300,class_300,50,"2""",60.3,-,165,127.0,18,M16,8,20.7,84,-,229,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R23,108,82.55,7.92,11.91,0.8,8.4,-,95,100,110
25,300,class_300,65,"2 1/2""",76.1,-,190,149.2,22,M20,8,23.9,100,-,229,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R26,127,101.6,7.92,11.91,0.8,11.25,-,110,115,125
26,300,class_300,80,"3""",88.9,-,210,168.3,22,M20,8,27.0,117,-,229,127.0,2,2,138,108,127,128.6,106.4,7,5,R31,146,123.83,7.92,11.91,0.8,15.28,-,115,120,130
27,300,class_300,100,"4""",114.3,-,255,200.0,22,M20,8,30.2,146,-,229,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R37,175,149.23,7.92,11.91,0.8,22.99,-,125,130,140
28,300,class_300,125,"5""",139.7,-,280,235.0,22,M20,8,33.4,178,-,305,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R41,210,180.98,7.92,11.91,0.8,38.04,-,130,135,145
29,300,class_300,150,"6""",168.3,-,320,269.9,22,M20,12,35.0,206,-,305,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R45,241,211.12,7.92,11.91,0.8,46.85,-,135,140,150
