,Class,PN,DN2,DN,D,K,L,Th,n,C,RF_d,RF_f1,f2,m_kg
0,150,class_150,650,"26""",785,744.5,22,M20,36,43.0,711,2,-,109.4
1,150,class_150,700,"28""",835,795.3,22,M20,40,46.2,762,2,-,206.2
2,150,class_150,750,"30""",885,846.1,22,M20,44,49.3,813,2,-,246.6
3,150,class_150,800,"32""",940,900.1,22,M20,48,52.5,864,2,-,294.2
4,150,class_150,850,"34""",1005,957.3,26,M24,40,55.7,921,2,-,355.5
5,150,class_150,900,"36""",1055,1009.6,26,M24,44,57.3,972,2,-,404.1
6,150,class_150,950,"38""",1125,1070.0,30,M27,40,62.0,1022,2,-,494.5
7,150,class_150,1000,"40""",1175,1120.8,30,M27,44,65.2,1080,2,-,566.2
8,150,class_150,1050,"42""",1225,1171.6,30,M27,48,66.8,1130,2,-,632.5
9,150,class_150,1100,"44""",1275,1222.4,30,M27,52,70.0,1181,2,-,716.9
10,150,class_150,1150,"46""",1340,1284.3,33,M30,40,73.1,1235,2,-,828.1
11,150,class_150,1200,"48""",1390,1335.1,33,M30,44,76.3,1289,2,-,928.5
12,150,class_150,1250,"50""",1445,1385.9,33,M30,48,79.5,1340,2,-,1037.0
13,150,class_150,1300,"52""",1495,1436.7,33,M30,52,82.7,1391,2,-,1168.6
14,150,class_150,1350,"54""",1550,1492.2,33,M30,56,85.8,1441,2,-,1293.0
15,150,class_150,1400,"56""",1600,1543.0,33,M30,60,89.0,1492,2,-,1427.4
16,150,class_150,1450,"58""",1675,1611.3,36,M33,48,91.9,1543,2,-,1616.3
17,150,class_150,1500,"60""",1725,1662.1,36,M33,52,95.4,1600,2,-,1776.6
18,300,class_300,650,"26""",865,803.3,36,M33,32,87.4,737,2,-,411.8
19,300,class_300,700,"28""",920,857.2,36,M33,36,87.4,787,2,-,464.5
20,300,class_300,750,"30""",990,920.8,39,M36*3,36,92.1,845,2,-,567.1
21,300,class_300,800,"32""",1055,977.9,42,M39*3,32,101.6,902,2,-,706.5
22,300,class_300,850,"34""",1110,1031.9,42,M39*3,36,101.6,953,2,-,780.5
23,300,class_300,900,"36""",1170,1089.0,45,M42*3,32,101.6,1010,2,-,872.2
24,300,class_300,950,"38""",1220,1139.8,45,M42*3,36,109.6,1060,2,-,1024.7
25,300,class_300,1000,"40""",1275,1190.6,45,M42*3,40,114.3,1114,2,-,1157.3
26,300,class_300,1050,"42""",1335,1244.6,48,M45*3,36,117.5,1168,2,-,1305.8
27,300,class_300,1100,"44""",1385,1295.4,48,M45*3,40,125.5,1219,2,-,1500.2
28,300,class_300,1150,"46""",1460,1365.2,51,M48*3,36,128.6,1270,2,-,1709.8
29,300,class_300,1200,"48""",1510,1416.0,51,M48*3,40,133.4,1327,2,-,1899.1
30,300,class_300,1250,"50""",1560,1466.8,51,M48*3,44,138.2,1378,2,-,2101.6
31,300,class_300,1300,"52""",1615,1517.6,51,M48*3,48,142.6,1429,2,-,2313.6
32,300,class_300,1350,"54""",1675,1578.0,51,M48*3,48,147.7,1480,2,-,2577.9
33,300,class_300,1400,"56""",1765,1651.0,60,M56*3,36,155.4,1537,2,-,3015.5
34,300,class_300,1450,"58""",1825,1712.9,60,M56*3,40,160.4,1594,2,-,3335.6
35,300,class_300,1500,"60""",1880,1763.7,60,M56*3,40,165.1,1651,2,-,3623.0
36,600,class_600,650,"26""",890,806.4,45,M42*3,28,111.3,727,7,-,542.1
37,600,class_600,700,"28""",950,863.6,48,M45*3,28,115.9,784,7,-,647.9
38,600,class_600,750,"30""",1020,927.1,51,M48*3,28,127.0,841,7,-,818.2
39,600,class_600,800,"32""",1085,9842.0,55,M52*3,28,134.9,895,7,-,980.2
40,600,class_600,850,"34""",1160,984.2,60,M56*3,24,144.2,953,7,-,1200.9
41,600,class_600,900,"36""",1215,1054.1,60,M56*3,28,150.9,1010,7,-,1368.0
42,900,class_900,650,"26""",1020,901.7,68,M64*3,20,154.0,762,7,-,991.6
43,900,class_900,700,"28""",1105,971.6,74,M70*3,20,166.7,819,7,-,1254.0
44,900,class_900,750,"30""",1180,1035.0,80,M76*3,20,176.1,876,7,-,1513.7
45,900,class_900,800,"32""",1240,1092.2,80,M76*3,20,186.0,927,7,-,1754.8
46,900,class_900,850,"34""",1315,1155.7,86,M82*3,20,195.0,991,7,-,2077.6
47,900,class_900,900,"36""",1345,1200.2,80,M76*3,24,201.7,1029,7,-,2253.3
