DN,PN,D,D1,D2,D3,D4,dta,H,h,a,a1,dta1,dta2,R,d,Th,n,dta0
1300,6,1460,1415,1376,1356,1353,60,125,35,21,18,16,26,12,27,M24,40,12
1400,6,1560,1515,1476,1456,1453,62,135,40,21,18,16,26,12,27,M24,44,12
1500,6,1660,1615,1576,1556,1553,64,140,40,21,18,16,26,12,27,M24,48,12
1600,6,1760,1715,1676,1656,1653,66,145,40,21,18,16,26,12,27,M24,52,12
1700,6,1860,1815,1776,1756,1753,70,150,40,21,18,16,26,12,27,M24,52,12
1800,6,1960,1915,1876,1856,1853,70,150,40,21,18,16,26,12,27,M24,52,14
1900,6,2060,2015,1976,1956,1953,74,150,40,21,18,16,26,12,27,M24,56,14
2000,6,2160,2115,2076,2056,2053,76,150,40,21,18,16,26,12,27,M24,60,14
2100,6,2275,2225,2176,2156,2153,88,155,50,21,18,18,28,15,27,M24,60,16
2200,6,2375,2325,2276,2256,2253,96,165,50,21,18,18,28,15,27,M24,64,16
2300,6,2480,2430,2376,2356,2353,100,170,50,21,18,20,30,15,27,M24,68,18
2400,6,2590,2535,2476,2456,2453,104,175,50,21,18,20,30,15,30,M27,56,18
2500,6,2695,2640,2576,2556,2553,106,175,50,21,18,22,32,15,30,M27,60,20
2600,6,2795,2740,2676,2656,2653,110,180,50,21,18,22,32,15,30,M27,64,20
300,10,440,400,365,355,352,30,85,25,17,14,12,22,12,23,M20,16,4
350,10,490,450,415,405,402,32,90,25,17,14,12,22,12,23,M20,16,4
400,10,540,500,465,455,452,34,95,25,17,14,12,22,12,23,M20,20,4
450,10,590,550,515,505,502,34,95,25,17,14,12,22,12,23,M20,20,6
500,10,640,600,565,555,552,38,100,25,17,14,12,22,12,23,M20,24,6
550,10,690,650,615,605,602,40,100,25,17,14,12,22,12,23,M20,24,6
600,10,740,700,665,655,652,44,105,25,17,14,12,22,12,23,M20,28,6
650,10,790,750,715,705,702,46,105,25,17,14,12,22,12,23,M20,28,8
700,10,840,800,765,755,752,50,105,25,17,14,12,22,12,23,M20,32,8
800,10,940,900,865,855,852,50,105,25,17,14,12,22,12,23,M20,32,8
900,10,1040,1000,965,955,952,54,110,25,17,14,12,22,12,23,M20,36,10
1000,10,1140,1100,1065,1055,1052,56,110,25,17,16,12,22,12,23,M20,40,10
1100,10,1260,1215,1176,1156,1153,56,120,35,21,18,16,26,12,27,M24,32,12
1200,10,1360,1315,1276,1256,1253,56,125,35,21,18,16,26,12,27,M24,36,12
1300,10,1460,1415,1376,1356,1353,60,130,35,21,18,16,26,12,27,M24,40,12
1400,10,1560,1515,1476,1456,1453,62,140,40,21,18,16,26,12,27,M24,44,12
1500,10,1660,1615,1576,1556,1553,64,140,40,21,18,16,26,12,27,M24,48,12
1600,10,1760,1715,1676,1656,1653,70,145,40,21,18,16,26,12,27,M24,52,12
1700,10,1870,1815,1776,1756,1753,76,150,40,21,18,18,26,12,30,M27,56,12
1800,10,1970,1915,1876,1856,1853,80,150,40,21,18,18,26,12,30,M27,56,14
1900,10,2095,2040,1998,1978,1973,86,155,40,21,18,20,32,15,30,M27,56,16
2000,10,2195,2140,2098,2078,2075,94,165,40,21,18,20,32,15,30,M27,60,16
2100,10,2295,2240,2198,2178,2175,102,190,50,21,18,20,32,15,30,M27,60,16
2200,10,2395,2340,2298,2278,2275,112,200,50,21,18,20,32,15,30,M27,64,16
2300,10,2515,2455,2398,2378,2375,120,210,50,21,18,22,34,15,33,M30,60,18
2400,10,2615,2555,2498,2478,2475,128,215,50,21,18,22,34,15,33,M30,64,18
2500,10,2720,2660,2598,2578,2575,130,215,50,21,18,24,36,15,33,M30,68,20
2600,10,2820,2760,2698,2678,2675,136,220,50,21,18,24,36,15,33,M30,72,20
300,16,440,400,365,355,352,30,85,25,17,14,12,22,12,23,M20,16,6
350,16,490,450,415,405,402,32,90,25,17,14,12,22,12,23,M20,16,6
400,16,540,500,465,455,452,34,95,25,17,14,12,22,12,23,M20,20,6
450,16,590,550,515,505,502,34,95,25,17,14,12,22,12,23,M20,20,8
500,16,640,600,565,555,552,38,100,25,17,14,12,22,12,23,M20,24,8
550,16,690,650,615,605,602,40,100,25,17,14,12,22,12,23,M20,24,8
600,16,740,700,665,655,652,44,105,25,17,14,12,22,12,23,M20,28,10
650,16,790,750,715,705,702,46,105,25,17,14,12,22,12,23,M20,28,10
700,16,860,815,776,766,763,46,115,35,21,18,16,26,12,27,M24,24,10
800,16,960,915,876,866,863,48,115,35,21,18,16,26,12,27,M24,24,12
900,16,1060,1015,976,966,963,52,115,35,21,18,16,26,12,27,M24,28,12
1000,16,1160,1115,1076,1066,1063,56,120,35,21,18,16,26,12,27,M24,32,12
1100,16,1260,1215,1176,1156,1153,62,125,40,21,18,16,26,12,27,M24,36,14
1200,16,1360,1315,1276,1256,1253,64,130,40,21,18,16,26,12,27,M24,40,14
1300,16,1460,1415,1376,1356,1353,74,140,40,21,18,16,26,12,27,M24,44,14
1400,16,1560,1515,1476,1456,1453,84,150,40,21,18,16,26,12,27,M24,52,14
1500,16,1695,1640,1598,1578,1575,84,155,42,21,18,20,32,15,30,M27,48,16
1600,16,1795,1740,1698,1678,1675,86,165,48,21,18,20,32,15,30,M27,52,16
1700,16,1895,1840,1798,1778,1775,86,165,48,21,18,22,32,15,30,M27,56,18
1800,16,1995,1940,1898,1878,1875,94,170,48,21,18,22,32,15,30,M27,64,18
1900,16,2115,2055,2010,1990,1987,94,185,56,26,23,24,36,15,33,M30,56,20
2000,16,2215,2155,2110,2090,2087,102,190,56,26,23,24,36,15,33,M30,64,20
2100,16,2340,2270,2210,2190,2187,116,215,68,26,23,26,38,15,39,M36,56,22
2200,16,2440,2370,2310,2290,2287,130,230,68,26,23,26,38,15,39,M36,60,22
2300,16,2540,2470,2410,2390,2387,142,245,68,26,23,26,38,15,39,M36,64,22
2400,16,2650,2575,2510,2490,2487,150,250,68,26,23,28,40,15,39,M36,68,24
2500,16,2775,2690,2610,2590,2587,168,275,74,26,23,28,40,15,45,M42,60,24
2600,16,2875,2790,2710,2690,2687,180,290,74,26,23,28,40,15,45,M42,64,24
300,25,440,400,365,355,352,32,85,25,17,14,12,22,12,23,M20,16,6
350,25,490,450,415,405,402,32,90,25,17,14,12,22,12,23,M20,16,6
400,25,540,500,465,455,452,36,95,25,17,14,12,22,12,23,M20,20,8
