,DN,DN2,D_o_A,D_o_B,Sch5s,Sch10s,Sch20s,LG,Sch20,Sch30,STD,Sch40,Sch60,XS,Sch80,Sch100,Sch120,Sch140,Sch160,XXS
0,15,"1/2""",21.3,18,1.6,2.1,2.6,-,-,-,-,2.9,-,-,3.6,-,-,-,4.5,-
1,20,"3/4""",26.9,25,1.6,2.1,2.6,-,-,-,-,2.9,-,-,4,-,-,-,5.6,-
2,25,"1""",33.7,32,1.6,2.8,3.2,-,-,-,-,3.2,-,-,4.5,-,-,-,6.3,-
3,32,"1 1/4""",42.4,38,1.6,2.8,3.2,-,-,-,-,3.6,-,-,5,-,-,-,6.3,-
4,40,"1 1/2""",48.3,45,1.6,2.8,3.2,-,-,-,-,3.6,-,-,5,-,-,-,7.1,-
5,50,"2""",60.3,57,1.6,2.8,3.6,-,3.2,-,-,4,-,-,5.6,-,-,-,8.8,-
6,65,"2 1/2""",76.1,76,2,3,3.6,-,4.5,-,-,5,-,-,7.1,-,-,-,10,-
7,80,"3""",88.9,89,2,3,4,-,4.5,-,-,5.6,-,-,8,-,-,-,11,-
8,90,"3 1/2""",101.6,-,2,3,4,-,4.5,-,-,5.6,-,-,8,-,-,-,12.5,-
9,100,"4""",114.3,108,2,3,4,-,5,-,-,5.9,-,-,8.8,-,11,-,14.2,-
10,125,"5""",139.7,133,2.9,3.4,5,-,5,-,-,6.3,-,-,10,-,12.5,-,16,-
11,150,"6""",168.3,159,2.9,3.4,5,-,5.6,-,-,7.1,-,-,11,-,14.2,-,17.5,-
12,200,"8""",219.1,219,2.9,4,6.3,-,6.3,7.1,-,8,10,-,12.5,16,17.5,20,22.2,-
13,250,"10""",273,273,3.6,4,6.3,-,6.3,8,-,8.8,12.5,-,16,17.5,22.2,25,28,-
14,300,"12""",323.9,325,4,4.5,6.3,-,6.3,8.8,-,10,14.2,-,17.5,22.2,25,28,32,-
15,350,"14""",355.6,377,4,5,8,8,8,10,10,11,16,13,20,25.8,28,32,36,-
16,400,"16""",406.4,426,4,5,8,8,8,10,10,12.5,17.5,13,22.2,28,30,36,40,-
17,450,"18""",457,478,4,5,8,8,8,11,10,14.2,20,13,25,30,36,40,45,-
18,500,"20""",508,529,4.5,5.6,8,8,10,12.5,10,16,20,13,28,32,40,45,50,-
19,550,"22""",559,-,5,5.6,-,8,-,-,10,-,-,13,30,-,-,-,-,-
20,600,"24""",610,630,5.6,6.3,-,8,-,-,10,17.5,-,13,32,-,-,-,-,-
21,650,"26""",660,-,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
22,700,"28""",711,720,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
23,750,"30""",762,-,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
24,800,"32""",813,820,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
25,850,"34""",864,-,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
26,900,"36""",914,920,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
27,950,"38""",965,-,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
28,1000,"40""",1016,1020,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
29,1050,"42""",1067,-,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
30,1100,"44""",1118,1120,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
31,1150,"46""",1168,-,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
32,1200,"48""",1219,1220,-,-,-,8,-,-,10,-,-,13,-,-,-,-,-,-
