,PN,DN,D,K,L,n,Th,C,d0,d1,t_t,t1,t_s,D_P,D_o,n_s,f2,W,X,BL,S_RF,S_T
0,6,40,130,100,14,4,M12,14,80,30,3,2,-,-,-,-,4.5,61,75,1.6,0.11,-
1,6,50,140,110,14,4,M12,14,90,45,3,2,-,-,-,-,4.5,73,87,1.9,0.14,-
2,6,65,160,130,14,4,M12,14,110,60,3,2,-,-,-,-,4.5,95,109,2.5,0.22,-
3,6,80,190,150,18,4,M16,16,128,75,3,2,-,-,-,-,4.5,106,120,3.9,0.28,-
4,6,100,210,170,18,4,M16,16,148,95,3,2,-,-,-,-,5.0,129,149,4.8,0.38,-
5,6,125,240,200,18,8,M16,18,178,110,3,2,-,-,-,-,5.0,155,175,6.1,0.56,-
6,6,150,265,225,18,8,M16,18,202,130,3,2,-,-,15,1,5.0,183,203,5.4,0.73,-
7,6,200,320,280,18,8,M16,20,258,190,4,2,-,-,15,1,5.0,239,259,13.5,1.59,-
8,6,250,375,335,18,12,M16,22,312,235,4,2,-,-,15,1,5.0,292,312,20.2,2.35,-
9,6,300,440,395,22,12,M20,22,365,285,5,3,-,170,15,4,5.0,343,363,27.8,4.06,-
10,6,350,490,445,22,12,M20,22,415,330,5,3,-,220,15,4,5.5,395,421,34.7,5.26,-
11,6,400,540,495,22,16,M20,22,465,380,5,3,-,230,15,4,5.5,447,473,42.0,6.6,-
12,6,450,595,550,22,16,M20,24,520,430,5,3,-,250,15,4,5.5,497,523,51.2,8.27,-
13,6,500,645,600,22,20,M20,24,570,475,6,4,-,260,15,7,5.5,549,575,65.1,11.9,-
14,6,600,755,705,26,20,M24,30,670,570,6,4,-,320,15,7,5.5,649,675,102.9,16.4,-
15,10,40,150,110,18,4,M16,18,88,30,3,2,10,-,-,-,4.5,61,75,2.4,0.13,0.43
16,10,50,165,125,18,4,M16,18,102,45,3,2,10,-,-,-,4.5,73,87,3.2,0.18,0.6
17,10,65,185,145,18,8,M16,18,122,60,3,2,10,-,-,-,4.5,95,109,4.1,0.26,0.87
18,10,80,200,160,18,8,M16,20,138,75,3,2,10,-,-,-,4.5,106,120,4.6,0.33,1.11
19,10,100,220,180,18,8,M16,20,158,95,3,2,10,-,-,-,5.0,129,149,6.2,0.45,1.5
20,10,125,250,210,18,8,M16,22,188,110,3,2,10,-,-,-,5.0,155,175,8.2,0.63,2.09
21,10,150,285,240,22,8,M20,22,212,130,3,2,10,-,15,1,5.0,183,203,11.4,0.82,2.72
22,10,200,340,295,22,8,M20,24,268,190,4,2,10,-,15,1,5.0,239,259,16.5,1.74,4.36
23,10,250,395,350,22,12,M20,26,320,235,4,2,10,-,15,1,5.0,292,312,24.1,2.52,6.31
24,10,300,445,400,22,12,M20,26,370,285,5,3,10,170,15,4,5.0,343,363,30.8,4.22,8.44
25,10,350,505,460,22,16,M20,26,430,330,5,3,10,220,15,4,5.5,395,421,39.6,5.64,11.3
