,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,R1,G,h,RF_d,S,S1,PJ_m_kg,SE_m_kg,RF_f1
0,6,10,17.2,14,75,50,11,4,M10,12,21,18,3,3,28,35,1.8,1.8,0.5,0.06,2
1,6,15,21.3,18,80,55,11,4,M10,12,25,22,3,3,30,40,2.0,2.0,0.5,0.07,2
2,6,20,26.9,25,90,65,11,4,M10,14,31,29,4,4,32,50,2.3,2.3,0.57,0.11,2
3,6,25,33.7,32,100,75,11,4,M10,14,38,36,4,4,35,60,2.6,2.6,0.5,0.15,2
4,6,32,42.4,38,120,90,14,4,M12,16,46,42,5,5,35,70,2.6,2.6,1.0,0.19,2
5,6,40,48.3,45,130,100,14,4,M12,16,53,50,5,5,38,80,2.6,2.6,1.5,0.24,2
6,6,50,60.3,57,140,110,14,4,M12,16,65,62,5,5,38,90,2.9,2.9,1.5,0.32,2
7,6,65,76.1,76,160,130,14,4,M12,16,81,81,6,6,38,110,2.9,2.9,2.0,0.45,2
8,6,80,88.9,89,190,150,18,4,M16,18,94,94,6,6,42,128,3.2,3.2,3.0,0.61,2
9,6,100,114.3,108,210,170,18,4,M16,18,120,114,6,6,45,148,3.6,3.6,3.0,0.73,2
10,6,125,139.7,133,240,200,18,8,M16,20,145,139,6,6,48,178,4.0,4.0,4.0,0.96,2
11,6,150,168.3,159,265,225,18,8,M16,20,174,165,6,6,48,202,4.5,4.5,4.5,1.22,2
12,6,200,219.1,219,320,280,18,8,M16,22,226,226,6,6,55,258,6.3,6.3,6.5,2.54,2
13,6,250,273.0,273,375,335,18,12,M16,24,281,281,8,8,60,312,6.3,6.3,8.5,3.37,2
14,6,300,323.9,325,440,395,22,12,M20,24,333,334,8,8,62,365,7.1,7.1,11.5,4.68,2
15,6,350,355.6,377,490,445,22,12,M20,26,365,386,8,8,62,415,7.1,7.1,16.0,5.79,2
