,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,N_A,N_B,R,H,RF_d,d,RF_f1,f1,f2,f3,W,X,Y,Z,b,m_kg,LSR,LZR,LZJ
0,6,10,17.2,14,75,50,11,4,M10,12,18.0,15,25,25,4,20,35,35,2,2,4.5,4.0,24,34,35,23,-,0.5,40,55,-
1,6,15,21.3,18,80,55,11,4,M10,12,22.5,19,30,30,4,20,40,40,2,2,4.5,4.0,29,39,40,28,-,0.5,40,55,-
2,6,20,26.9,25,90,65,11,4,M10,14,27.5,26,40,40,4,24,50,50,2,2,4.5,4.0,36,50,51,35,-,0.5,45,60,-
3,6,25,33.7,32,100,75,11,4,M10,14,34.5,33,50,50,4,24,60,60,2,2,4.5,4.0,43,57,58,42,-,1.0,45,60,-
4,6,32,42.4,38,120,90,14,4,M12,14,43.5,39,60,60,6,26,70,70,2,2,4.5,4.0,51,65,66,50,-,1.0,50,65,-
5,6,40,48.3,45,130,100,14,4,M12,14,49.5,46,70,70,6,26,80,80,2,2,4.5,4.0,61,75,76,60,-,1.5,50,65,-
6,6,50,60.3,57,140,110,14,4,M12,14,61.5,59,80,80,6,28,90,90,2,2,4.5,4.0,73,87,88,72,-,1.5,50,65,-
7,6,65,76.1,76,160,130,14,4,M12,14,77.5,78,100,100,6,32,110,110,2,2,4.5,4.0,95,109,110,94,-,2.0,50,65,-
8,6,80,88.9,89,190,150,18,4,M16,16,90.5,91,110,110,8,34,128,128,2,2,4.5,4.0,106,120,121,105,-,3.0,55,80,-
9,6,100,114.3,108,210,170,18,4,M16,16,116.0,110,130,130,8,40,148,148,2,2,5.0,4.5,129,149,150,128,-,3.0,55,80,-
10,6,125,139.7,133,240,200,18,8,M16,18,143.5,135,160,160,8,44,178,178,2,2,5.0,4.5,155,175,176,154,-,4.5,60,85,-
11,6,150,168.3,159,265,225,18,8,M16,18,170.5,161,185,185,10,44,202,202,2,2,5.0,4.5,183,203,204,182,-,5.0,60,85,-
12,6,200,219.1,219,320,280,18,8,M16,20,221.5,222,240,240,10,44,258,258,2,2,5.0,4.5,239,259,260,238,-,7.0,65,90,-
13,6,250,273.0,273,375,335,18,12,M16,20,276.5,276,295,295,12,44,312,312,2,2,5.0,4.5,292,312,313,291,-,9.0,70,95,-
14,6,300,323.9,325,440,395,22,12,M20,22,328.0,328,355,355,12,44,365,365,2,2,5.0,4.5,343,363,364,342,-,12.0,75,105,-
15,10,10,17.2,14,90,60,14,4,M12,16,18.0,15,30,30,4,22,40,40,2,2,4.5,4.0,24,34,35,23,-,0.5,50,70,-
16,10,15,21.3,18,95,65,14,4,M12,16,22.5,19,35,35,4,22,45,45,2,2,4.5,4.0,29,39,40,28,-,0.5,50,70,-
17,10,20,26.9,25,105,75,14,4,M12,18,27.5,26,45,45,4,26,58,58,2,2,4.5,4.0,36,50,51,35,-,1.0,55,75,-
18,10,25,33.7,32,115,85,14,4,M12,18,34.5,33,52,52,4,28,68,68,2,2,4.5,4.0,43,57,58,42,-,1.5,55,75,-
19,10,32,42.4,38,140,100,18,4,M16,18,43.5,39,60,60,6,30,78,78,2,2,4.5,4.0,51,65,66,50,-,2.0,60,85,-
20,10,40,48.3,45,150,110,18,4,M16,18,49.5,46,70,70,6,32,88,88,2,2,4.5,4.0,61,75,76,60,-,2.0,60,85,-
21,10,50,60.3,57,165,125,18,4,M16,18,61.5,59,84,84,5,32,102,102,2,2,4.5,4.0,73,87,88,72,-,2.5,60,85,-
22,10,65,76.1,76,185,145,18,8,M16,18,77.5,78,104,104,6,32,122,122,2,2,4.5,4.0,95,109,110,94,-,3.0,60,85,-
23,10,80,88.9,89,200,160,18,8,M16,20,90.5,91,118,118,6,34,138,138,2,2,4.5,4.0,106,120,121,105,-,4.0,65,90,-
24,10,100,114.3,108,220,180,18,8,M16,20,116.0,110,140,140,8,40,158,158,2,2,5.0,4.5,129,149,150,128,-,4.5,65,90,-
25,10,125,139.7,133,250,210,18,8,M16,22,143.5,135,168,168,8,44,188,188,2,2,5.0,4.5,155,175,176,154,-,6.5,70,95,-
26,10,150,168.3,159,285,240,22,8,M20,22,170.5,161,195,195,10,44,212,212,2,2,5.0,4.5,183,203,204,182,-,7.5,75,105,-
27,10,200,219.1,219,340,295,22,8,M20,24,221.5,222,246,246,10,44,268,268,2,2,5.0,4.5,239,259,260,238,-,10.5,80,105,-
28,10,250,273.0,273,395,350,22,12,M20,26,276.5,276,298,298,12,46,320,320,2,2,5.0,4.5,292,312,313,291,-,13.0,80,110,-
29,10,300,323.9,325,445,400,22,12,M20,26,328.0,328,350,350,12,46,370,370,2,2,5.0,4.5,343,363,364,342,-,15.0,80,110,-
30,10,350,355.6,377,505,460,22,16,M20,26,360.0,381,400,412,12,53,430,430,2,2,5.5,5.0,395,421,422,394,-,23.5,80,110,-
31,10,400,406.4,426,565,515,26,16,M24,26,411.0,430,456,475,12,57,482,482,2,2,5.5,5.0,447,473,478,446,-,29.0,85,120,-
32,10,450,457.0,480,615,565,26,20,M24,28,462.0,485,502,525,12,63,532,532,2,2,5.5,5.0,497,523,524,496,12,33.5,90,125,-
33,10,500,508.0,530,670,620,26,20,M24,28,513.5,535,559,581,12,67,585,585,2,2,5.5,5.0,549,575,576,548,12,40.5,90,125,-
34,10,600,610.0,630,780,725,30,20,M27,28,616.5,636,658,678,12,75,685,685,2,2,5.5,5.0,649,675,676,648,12,56.0,95,130,-
35,16,10,17.2,14,90,60,14,4,M12,16,18.0,15,30,30,4,22,40,40,2,2,4.5,4.0,24,34,35,23,4,0.5,50,70,-
36,16,15,21.3,18,95,65,14,4,M12,16,22.5,19,35,35,4,22,45,45,2,2,4.5,4.0,29,39,40,28,4,0.5,50,70,-
37,16,20,26.9,25,105,75,14,4,M12,18,27.5,26,45,45,4,26,58,58,2,2,4.5,4.0,36,50,51,35,4,1.0,55,75,-
38,16,25,33.7,32,115,85,14,4,M12,18,34.5,33,52,52,4,28,68,68,2,2,4.5,4.0,43,57,58,42,5,1.5,55,75,-
39,16,32,42.4,38,140,100,18,4,M16,18,43.5,39,60,60,6,30,78,78,2,2,4.5,4.0,51,65,66,50,5,2.0,60,85,-
40,16,40,48.3,45,150,110,18,4,M16,18,49.5,46,70,70,6,32,88,88,2,2,4.5,4.0,61,75,76,60,5,2.0,60,85,-
41,16,50,60.3,57,165,125,18,4,M16,18,61.5,59,84,84,5,32,102,102,2,2,4.5,4.0,73,87,88,72,5,2.5,60,85,-
42,16,65,76.1,76,185,145,18,8,M16,18,77.5,78,104,104,6,32,122,122,2,2,4.5,4.0,95,109,110,94,6,3.0,60,85,-
43,16,80,88.9,89,200,160,18,8,M16,20,90.5,91,118,118,6,34,138,138,2,2,4.5,4.0,106,120,121,105,6,4.0,65,90,-
44,16,100,114.3,108,220,180,18,8,M16,20,116.0,110,140,140,8,40,158,158,2,2,5.0,4.5,129,149,150,128,6,4.5,65,90,-
45,16,125,139.7,133,250,210,18,8,M16,22,143.5,135,168,168,8,44,188,188,2,2,5.0,4.5,155,175,176,154,6,6.5,70,95,-
46,16,150,168.3,159,285,240,22,8,M20,22,170.5,161,195,195,10,44,212,212,2,2,5.0,4.5,183,203,204,182,6,7.5,75,105,-
47,16,200,219.1,219,340,295,22,12,M20,24,221.5,222,246,246,10,44,268,268,2,2,5.0,4.5,239,259,260,238,8,10.0,80,105,-
48,16,250,273.0,273,405,355,26,12,M24,26,276.5,276,298,298,12,46,320,320,2,2,5.0,4.5,292,312,313,291,10,14.0,85,120,-
49,16,300,323.9,325,460,410,26,12,M24,28,328.0,328,350,350,12,46,378,378,2,2,5.0,4.5,343,363,364,342,11,18.0,90,125,-
50,16,350,355.6,377,520,470,26,16,M24,30,360.0,381,400,412,12,57,428,428,2,2,5.5,5.0,395,421,422,394,12,28.5,95,130,-
51,16,400,406.4,426,580,525,30,16,M27,32,411.0,430,456,475,12,63,490,490,2,2,5.5,5.0,447,473,474,446,12,36.5,100,140,-
52,16,450,457.0,480,640,585,30,20,M27,40,462.0,485,502,525,12,68,550,550,2,2,5.5,5.0,497,523,524,496,12,49.5,120,155,-
53,16,500,508.0,530,715,650,33,20,M30,44,513.5,535,559,581,12,73,610,610,2,2,5.5,5.0,549,575,576,548,12,68.5,130,170,-
54,16,600,610.0,630,840,770,36,20,M33,54,616.5,636,658,678,12,83,725,725,2,2,5.5,5.0,649,675,676,648,12,107.5,155,200,-
55,25,10,17.2,14,90,60,14,4,M12,16,18.0,15,30,30,4,22,40,40,2,2,4.5,4.0,24,34,35,23,4,0.5,-,70,-
56,25,15,21.3,18,95,65,14,4,M12,16,22.5,19,35,35,4,22,45,45,2,2,4.5,4.0,29,39,40,28,4,0.5,-,70,-
57,25,20,26.9,25,105,75,14,4,M12,18,27.5,26,45,45,4,26,58,58,2,2,4.5,4.0,36,50,51,35,4,1.0,-,75,-
58,25,25,33.7,32,115,85,14,4,M12,18,34.5,33,52,52,4,28,68,68,2,2,4.5,4.0,43,57,58,42,5,1.5,-,75,-
59,25,32,42.4,38,140,100,18,4,M16,18,43.5,39,60,60,6,30,78,78,2,2,4.5,4.0,51,65,66,50,5,2.0,-,85,-
60,25,40,48.3,45,150,110,18,4,M16,18,49.5,46,70,70,6,32,88,88,2,2,4.5,4.0,61,75,76,60,5,2.0,-,85,-
61,25,50,60.3,57,165,125,18,4,M16,20,61.5,59,84,84,6,34,102,102,2,2,4.5,4.0,73,87,88,72,5,3.0,-,90,-
62,25,65,76.1,76,185,145,18,8,M16,22,77.5,78,104,104,6,38,122,122,2,2,4.5,4.0,95,109,110,94,6,4.0,-,95,-
63,25,80,88.9,89,200,160,18,8,M16,24,90.5,91,118,118,8,40,138,138,2,2,4.5,4.0,106,120,121,105,6,4.5,-,95,-
64,25,100,114.3,108,235,190,22,8,M20,24,116.0,110,145,145,8,44,162,162,2,2,5.0,4.5,129,149,150,128,6,6.5,-,105,-
