,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,b,m_kg,LSR,LZR,LZJ
0,"2,5",10,17.2,14,75,50,11,4,M10,12,18.0,15,35,2,35,2,4.5,4,24,34,35,23,-,0.5,40,55,-
1,"2,5",15,21.3,18,80,55,11,4,M10,12,22.5,19,40,2,40,2,4.5,4,29,39,40,28,-,0.5,40,55,-
2,"2,5",20,26.9,25,90,65,11,4,M10,14,27.5,26,50,2,50,2,4.5,4,36,50,51,35,-,0.5,45,60,-
3,"2,5",25,33.7,32,100,75,11,4,M10,14,34.5,33,60,2,60,2,4.5,4,43,57,58,42,-,0.5,45,60,-
4,"2,5",32,42.4,38,120,90,14,4,M12,16,43.5,39,70,2,70,2,4.5,4,51,65,66,50,-,1.0,50,70,-
5,"2,5",40,48.3,45,130,100,14,4,M12,16,49.5,46,80,2,80,2,4.5,4,61,75,76,60,-,1.5,50,70,-
6,"2,5",50,60.3,57,140,110,14,4,M12,16,61.5,59,90,2,90,2,4.5,4,73,87,88,72,-,1.5,50,70,-
7,"2,5",65,76.1,76,160,130,14,4,M12,16,77.5,78,110,2,110,2,4.5,4,95,109,110,94,-,2.0,50,70,-
8,"2,5",80,88.9,89,190,150,18,4,M16,18,90.5,91,128,2,128,2,4.5,4,106,120,121,105,-,3.0,60,85,-
9,"2,5",100,114.3,108,210,170,18,4,M16,18,116.0,110,148,2,148,2,5,4.5,129,149,150,128,-,3.5,60,85,-
10,"2,5",125,139.7,133,240,200,18,8,M16,20,143.5,135,178,2,178,2,5,4.5,155,175,176,154,-,4.5,65,90,-
11,"2,5",150,168.3,159,265,225,18,8,M16,20,170.5,161,202,2,202,2,5,4.5,183,203,204,182,-,5.0,65,90,-
12,"2,5",200,219.1,219,320,280,18,8,M16,22,221.5,222,258,2,258,2,5,4.5,239,259,260,238,-,7.0,70,95,-
13,"2,5",250,273.0,273,375,335,18,12,M16,24,276.5,276,312,2,312,2,5,4.5,292,312,313,291,-,9.0,75,95,-
14,"2,5",300,323.9,325,440,395,22,12,M20,24,328.0,328,365,2,365,2,5,4.5,343,363,364,342,-,12.0,80,105,-
15,"2,5",350,355.6,377,490,445,22,12,M20,26,360.0,381,415,2,415,2,5.5,5,395,421,422,394,-,17.0,80,110,-
16,"2,5",400,406.4,426,540,495,22,16,M20,28,411.0,430,465,2,465,2,5.5,5,447,473,478,446,-,20.0,85,115,-
17,"2,5",450,457.0,480,595,550,22,16,M20,30,462.0,485,520,2,520,2,5.5,5,497,523,524,496,-,24.5,90,120,-
18,"2,5",500,508.0,530,645,600,22,20,M20,30,513.5,535,570,2,570,2,5.5,5,549,575,576,548,-,26.5,90,120,-
19,"2,5",600,610.0,630,755,705,26,20,M24,32,616.5,636,670,2,670,2,5.5,5,649,675,676,648,-,35.0,100,135,-
20,"2,5",700,711.0,720,860,810,26,24,M24,36,715.0,724,775,2,775,-,-,-,-,-,-,-,-,52.0,105,140,-
21,"2,5",800,813.0,820,975,920,30,24,M27,38,817.0,824,880,2,880,-,-,-,-,-,-,-,-,65.0,115,150,-
22,"2,5",900,914.0,920,1075,1020,30,24,M27,40,918.0,924,980,2,980,-,-,-,-,-,-,-,-,75.5,120,155,-
23,"2,5",1000,1016.0,1020,1175,1120,30,28,M27,42,1020.0,1024,1080,2,1080,-,-,-,-,-,-,-,-,84.5,120,160,-
24,"2,5",1200,1219.0,1220,1375,1320,30,32,M27,44,1223.0,1224,1280,2,1280,-,-,-,-,-,-,-,-,101.5,125,165,-
25,"2,5",1400,1422.0,1420,1575,1520,30,36,M27,48,1426.0,1424,1480,2,1480,-,-,-,-,-,-,-,-,128.0,135,170,-
26,"2,5",1600,1626.0,1620,1790,1730,30,40,M27,51,1630.0,1624,1690,2,1690,-,-,-,-,-,-,-,-,171.0,140,180,-
27,"2,5",1800,1829.0,1820,1990,1930,30,44,M27,54,1833.0,1824,1890,2,1890,-,-,-,-,-,-,-,-,202.5,145,185,-
28,"2,5",2000,2032.0,2020,2190,2130,30,48,M27,58,2036.0,2024,2090,2,2090,-,-,-,-,-,-,-,-,240.5,155,190,-
29,6,10,17.2,14,75,50,11,4,M10,12,18.0,15,35,2,35,2,4.5,4,24,34,35,23,-,0.5,40,55,-
30,6,15,21.3,18,80,55,11,4,M10,12,22.5,19,40,2,40,2,4.5,4,29,39,40,28,-,0.5,40,55,-
31,6,20,26.9,25,90,65,11,4,M10,14,27.5,26,50,2,50,2,4.5,4,36,50,51,35,-,0.5,45,60,-
32,6,25,33.7,32,100,75,11,4,M10,14,34.5,33,60,2,60,2,4.5,4,43,57,58,42,-,0.5,45,60,-
33,6,32,42.4,38,120,90,14,4,M12,16,43.5,39,70,2,70,2,4.5,4,51,65,66,50,-,1.0,50,70,-
34,6,40,48.3,45,130,100,14,4,M12,16,49.5,46,80,2,80,2,4.5,4,61,75,76,60,-,1.5,50,70,-
35,6,50,60.3,57,140,110,14,4,M12,16,61.5,59,90,2,90,2,4.5,4,73,87,88,72,-,1.5,50,70,-
36,6,65,76.1,76,160,130,14,4,M12,16,77.5,78,110,2,110,2,4.5,4,95,109,110,94,-,2.0,50,70,-
37,6,80,88.9,89,190,150,18,4,M16,18,90.5,91,128,2,128,2,4.5,4,106,120,121,105,-,3.0,60,85,-
38,6,100,114.3,108,210,170,18,4,M16,18,116.0,110,148,2,148,2,5,4.5,129,149,150,128,-,3.5,60,85,-
39,6,125,139.7,133,240,200,18,8,M16,20,143.5,135,178,2,178,2,5,4.5,155,175,176,154,-,4.5,65,90,-
40,6,150,168.3,159,265,225,18,8,M16,20,170.5,161,202,2,202,2,5,4.5,183,203,204,182,-,5.0,65,90,-
41,6,200,219.1,219,320,280,18,8,M16,22,221.5,222,258,2,258,2,5,4.5,239,259,260,238,-,7.0,70,95,-
