,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,B1_A,B1_B,N,H,R1,h,RF_d,RF_f1,f2,m_kg
0,150,class_150,15,"1/2""",21.3,-,90,60.3,16,M14,4,11.2,22.9,-,30,16,3,51,34.9,2,-,0.45
1,150,class_150,20,"3/4""",26.9,-,100,69.9,16,M14,4,12.7,28.2,-,38,16,3,51,42.9,2,-,0.68
2,150,class_150,25,"1""",33.7,-,110,79.4,16,M14,4,14.3,34.9,-,49,17,3,51,50.8,2,-,0.91
3,150,class_150,32,"1 1/4""",42.4,-,115,88.9,16,M14,4,15.9,43.7,-,59,21,5,51,63.5,2,-,1.14
4,150,class_150,40,"1 1/2""",48.3,-,125,98.4,16,M14,4,17.5,50.0,-,65,22,6,51,73.0,2,-,1.36
5,150,class_150,50,"2""",60.3,-,150,120.7,18,M16,4,19.1,62.5,-,78,25,8,64,92.1,2,-,2.27
6,150,class_150,65,"2 1/2""",76.1,-,180,139.7,18,M16,4,22.3,78.5,-,90,29,8,64,104.8,2,-,3.63
7,150,class_150,80,"3""",88.9,-,190,152.4,18,M16,4,23.9,91.4,-,108,30,10,64,127.0,2,-,4.09
8,150,class_150,100,"4""",114.3,-,230,190.5,18,M16,8,23.9,116.8,-,135,33,11,76,157.2,2,-,5.45
9,150,class_150,125,"5""",139.7,-,255,215.9,22,M20,8,23.9,144.4,-,164,36,11,76,185.7,2,-,5.9
10,150,class_150,150,"6""",168.3,-,280,241.3,22,M20,8,25.4,171.4,-,192,40,13,89,215.9,2,-,8.17
11,150,class_150,200,"8""",219.1,-,345,298.5,22,M20,8,28.6,222.2,-,246,44,13,102,269.9,2,-,12.71
12,150,class_150,250,"10""",273.0,-,405,362.0,26,M24,12,30.2,277.4,-,305,49,13,127,323.8,2,-,16.34
13,150,class_150,300,"12""",323.9,-,485,431.8,26,M24,12,31.8,328.2,-,365,56,13,152,381.0,2,-,27.24
14,150,class_150,350,"14""",355.6,-,535,476.3,30,M27,12,35.0,360.2,-,400,79,13,152,412.8,2,-,34.96
15,150,class_150,400,"16""",406.4,-,595,539.8,30,M27,16,36.6,411.2,-,457,87,13,152,469.9,2,-,47.22
16,150,class_150,450,"18""",457.0,-,635,577.9,33,M30,16,39.7,462.3,-,505,97,13,152,533.4,2,-,66.28
17,150,class_150,500,"20""",508.0,-,700,635.0,33,M30,20,42.9,514.4,-,559,103,13,152,584.2,2,-,72.19
18,150,class_150,600,"24""",610.0,-,815,749.3,36,M33,20,47.7,616.0,-,663,111,13,152,692.2,2,-,88.53
19,300,class_300,15,"1/2""",21.3,-,95,66.7,16,M14,4,14.3,22.9,-,38,22,3,51,34.9,2,-,0.68
20,300,class_300,20,"3/4""",26.9,-,115,82.6,18,M16,4,15.9,28.2,-,48,25,3,51,42.9,2,-,1.14
21,300,class_300,25,"1""",33.7,-,125,88.9,18,M16,4,17.5,34.9,-,54,27,3,51,50.8,2,-,1.36
22,300,class_300,32,"1 1/4""",42.4,-,135,98.4,18,M16,4,19.1,43.7,-,64,27,5,51,63.5,2,-,2.04
23,300,class_300,40,"1 1/2""",48.3,-,155,114.3,22,M20,4,20.7,50.0,-,70,30,6,51,73.0,2,-,2.95
24,300,class_300,50,"2""",60.3,-,165,127.0,18,M16,8,22.3,62.5,-,84,33,8,64,92.1,2,-,3.18
25,300,class_300,65,"2 1/2""",76.1,-,190,149.2,22,M20,8,25.4,78.5,-,100,38,8,64,104.8,2,-,4.54
26,300,class_300,80,"3""",88.9,-,210,168.3,22,M20,8,28.6,91.4,-,117,43,10,64,127.0,2,-,6.58
27,300,class_300,100,"4""",114.3,-,255,200.0,22,M20,8,31.8,116.8,-,146,48,11,76,157.2,2,-,10.9
28,300,class_300,125,"5""",139.7,-,280,235.0,22,M20,8,35.0,144.4,-,178,51,11,76,185.7,2,-,11.8
29,300,class_300,150,"6""",168.3,-,320,269.9,22,M20,12,36.6,171.4,-,206,52,13,89,215.9,2,-,17.25
30,300,class_300,200,"8""",219.1,-,380,330.2,26,M24,12,41.3,222.2,-,260,62,13,102,269.9,2,-,24.97
31,300,class_300,250,"10""",273.0,-,445,387.4,30,M27,16,47.7,277.4,-,321,95,13,254,323.8,2,-,39.95
32,300,class_300,300,"12""",323.9,-,520,450.8,33,M30,16,50.8,328.2,-,375,102,13,254,381.0,2,-,63.11
33,300,class_300,350,"14""",355.6,-,585,514.4,33,M30,20,54.0,360.2,-,425,111,13,305,412.8,2,-,83.54
34,300,class_300,400,"16""",406.4,-,650,571.5,36,M33,20,57.2,411.2,-,483,121,13,305,469.9,2,-,106.24
35,300,class_300,450,"18""",457.0,-,710,628.6,36,M33,24,60.4,462.3,-,533,130,13,305,533.4,2,-,138.47
36,300,class_300,500,"20""",508.0,-,775,685.8,36,M33,24,63.5,514.4,-,587,140,13,305,584.2,2,-,170.25
37,300,class_300,600,"24""",610.0,-,915,812.8,42,M39*3,24,69.9,616.0,-,702,152,13,305,692.2,2,-,240.62
38,600,class_600,15,"1/2""",21.3,-,95,66.7,16,M14,4,14.3,22.9,-,38,22,3,76,34.9,7,-,0.91
39,600,class_600,20,"3/4""",26.9,-,115,82.6,18,M16,4,15.9,28.2,-,48,25,3,76,42.9,7,-,1.36
40,600,class_600,25,"1""",33.7,-,125,88.9,18,M16,4,17.5,34.9,-,54,27,3,102,50.8,7,-,1.59
41,600,class_600,32,"1 1/4""",42.4,-,135,98.4,18,M16,4,20.7,43.7,-,64,29,5,102,63.5,7,-,2.04
42,600,class_600,40,"1 1/2""",48.3,-,155,114.3,22,M20,4,22.3,50.0,-,70,32,6,102,73.0,7,-,2.95
43,600,class_600,50,"2""",60.3,-,165,127.0,18,M16,8,25.4,62.5,-,84,37,8,152,92.1,7,-,3.63
44,600,class_600,65,"2 1/2""",76.1,-,190,149.2,22,M20,8,28.6,78.5,-,100,41,8,152,104.8,7,-,4.99
45,600,class_600,80,"3""",88.9,-,210,168.3,22,M20,8,31.8,91.4,-,117,46,10,152,127.0,7,-,6.36
46,600,class_600,100,"4""",114.3,-,275,215.9,26,M24,8,38.1,116.8,-,152,54,11,152,157.2,7,-,14.07
47,600,class_600,125,"5""",139.7,-,330,266.7,30,M27,8,44.5,144.4,-,189,60,11,203,185.7,7,-,28.6
48,600,class_600,150,"6""",168.3,-,355,292.1,30,M27,12,47.7,171.4,-,222,67,13,203,215.9,7,-,35.41
49,600,class_600,200,"8""",219.1,-,420,349.2,33,M30,12,55.6,222.2,-,273,76,13,203,269.9,7,-,50.85
50,600,class_600,250,"10""",273.0,-,510,431.8,36,M33,16,63.5,277.4,-,343,111,13,254,323.8,7,-,88.53
51,600,class_600,300,"12""",323.9,-,560,489.0,36,M33,20,66.7,328.2,-,400,117,13,254,381.0,7,-,108.96
52,600,class_600,350,"14""",355.6,-,605,527.0,39,M36*3,20,69.9,360.2,-,432,127,13,305,412.8,7,-,131.66
53,600,class_600,400,"16""",406.4,-,685,603.2,42,M39*3,20,76.2,411.2,-,495,140,13,305,469.9,7,-,181.6
54,600,class_600,450,"18""",457.0,-,745,654.0,45,M42*3,20,82.6,462.3,-,546,152,13,305,533.4,7,-,212.93
55,600,class_600,500,"20""",508.0,-,815,723.9,45,M42*3,24,88.9,514.4,-,610,165,13,305,584.2,7,-,274.22
56,600,class_600,600,"24""",610.0,-,940,838.2,51,M48*3,24,101.6,616.0,-,718,184,13,305,692.2,7,-,393.16
