,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,B1_A,B1_B,N_A,N_B,H,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,b,m_kg,LSR,LZR,LZM,LZJ
0,150,class_150,15,"1/2""",21.3,-,90,60.3,16,M14,4,9.6,22.5,-,30,-,14,34.9,2,-,-,-,-,-,-,-,-,-,0.45,50,65,-,-
1,150,class_150,20,"3/4""",26.9,-,100,69.9,16,M14,4,11.2,27.5,-,38,-,14,42.9,2,-,-,-,-,-,-,-,-,-,0.68,50,70,-,-
2,150,class_150,25,"1""",33.7,-,110,79.4,16,M14,4,12.7,34.5,-,49,-,16,50.8,2,-,-,-,-,-,-,-,-,-,0.91,55,70,-,80
3,150,class_150,32,"1 1/4""",42.4,-,115,88.9,16,M14,4,14.3,43.5,-,59,-,19,63.5,2,-,-,-,-,-,-,-,-,-,1.14,55,75,-,85
4,150,class_150,40,"1 1/2""",48.3,-,125,98.4,16,M14,4,15.9,49.5,-,65,-,21,73.0,2,-,-,-,-,-,-,-,-,-,1.36,60,80,-,90
5,150,class_150,50,"2""",60.3,-,150,120.7,18,M16,4,17.5,61.5,-,78,-,24,92.1,2,-,-,-,-,-,-,-,-,-,2.18,65,85,-,100
6,150,class_150,65,"2 1/2""",76.1,-,180,139.7,18,M16,4,20.7,77.6,-,90,-,27,104.8,2,-,-,-,-,-,-,-,-,-,3.45,70,95,-,105
7,150,class_150,80,"3""",88.9,-,190,152.4,18,M16,4,22.3,90.5,-,108,-,29,127.0,2,-,-,-,-,-,-,-,-,-,4.01,75,95,-,105
8,150,class_150,100,"4""",114.3,-,230,190.5,18,M16,8,22.3,116.0,-,135,-,32,157.2,2,-,-,-,-,-,-,-,-,-,5.63,75,95,-,105
9,150,class_150,125,"5""",139.7,-,255,215.9,22,M20,8,22.3,143.5,-,164,-,35,185.7,2,-,-,-,-,-,-,-,-,-,6.74,80,110,-,115
10,150,class_150,150,"6""",168.3,-,280,241.3,22,M20,8,23.9,170.5,-,192,-,38,215.9,2,-,-,-,-,-,-,-,-,-,7.9,85,110,-,120
11,150,class_150,200,"8""",219.1,-,345,298.5,22,M20,8,27.0,221.5,-,246,-,43,269.9,2,-,-,-,-,-,-,-,-,-,12.9,90,115,-,125
12,150,class_150,250,"10""",273.0,-,405,362.0,26,M24,12,28.6,276.5,-,305,-,48,323.8,2,-,-,-,-,-,-,-,-,-,17.6,100,130,-,140
13,150,class_150,300,"12""",323.9,-,485,431.8,26,M24,12,30.2,328.0,-,365,-,54,381.0,2,-,-,-,-,-,-,-,-,-,27.69,100,135,-,145
14,150,class_150,350,"14""",355.6,-,535,476.3,30,M27,12,33.4,360.0,-,400,-,56,412.8,2,-,-,-,-,-,-,-,-,-,37.68,110,150,-,155
15,150,class_150,400,"16""",406.4,-,595,539.8,30,M27,16,35.0,411.0,-,457,-,62,469.9,2,-,-,-,-,-,-,-,-,-,48.12,115,150,-,160
16,150,class_150,450,"18""",457.0,-,635,577.9,33,M30,16,38.1,462.0,-,505,-,67,533.4,2,-,-,-,-,-,-,-,-,-,49.49,125,165,-,175
17,150,class_150,500,"20""",508.0,-,700,635.0,33,M30,20,41.3,513.5,-,559,-,71,584.2,2,-,-,-,-,-,-,-,-,-,67.19,130,170,-,180
18,150,class_150,600,"24""",610.0,-,815,749.3,36,M33,20,46.1,616.5,-,663,-,81,692.2,2,-,-,-,-,-,-,-,-,-,92.62,145,190,-,200
19,300,class_300,15,"1/2""",21.3,-,95,66.7,16,M14,4,12.7,22.5,-,38,-,21,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,-,0.68,-,70,75,80
