,PN2,PN,DN2,DN,D,K,L,n,Th,C,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,c_num,RJ_d,P,E,F,RJ_r,m_kg
0,150,class_150,15,"1/2""",90,60.3,16,4,M14,9.6,34.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91
1,150,class_150,20,"3/4""",100,69.9,16,4,M14,11.2,42.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91
2,150,class_150,25,"1""",110,79.4,16,4,M14,12.7,50.8,2,-,-,-,-,-,-,-,-,R15,63.5,47.63,6.35,8.74,0.8,0.91
3,150,class_150,32,"1 1/4""",115,88.9,16,4,M14,14.3,63.5,2,-,-,-,-,-,-,-,-,R17,73,57.15,6.35,8.74,0.8,1.36
4,150,class_150,40,"1 1/2""",125,98.4,16,4,M14,15.9,73.0,2,-,-,-,-,-,-,-,-,R19,82.5,65.07,6.35,8.74,0.8,1.36
5,150,class_150,50,"2""",150,120.7,18,4,M16,17.5,92.1,2,-,-,-,-,-,-,-,-,R22,102,82.55,6.35,8.74,0.8,1.82
6,150,class_150,65,"2 1/2""",180,139.7,18,4,M16,20.7,104.8,2,-,-,-,-,-,-,-,-,R25,121,101.6,6.35,8.74,0.8,3.18
7,150,class_150,80,"3""",190,152.4,18,4,M16,22.3,127.0,2,-,-,-,-,-,-,-,-,R29,133,114.3,6.35,8.74,0.8,4.09
8,150,class_150,100,"4""",230,190.5,18,8,M16,22.3,157.2,2,-,-,-,-,-,-,-,-,R36,171,149.23,6.35,8.74,0.8,7.72
9,150,class_150,125,"5""",255,215.9,22,8,M20,22.3,185.7,2,-,-,-,-,-,-,-,-,R40,194,171.45,6.35,8.74,0.8,9.08
10,150,class_150,150,"6""",280,241.3,22,8,M20,23.9,215.9,2,-,-,-,-,-,-,-,-,R43,219,193.68,6.35,8.74,0.8,12.26
11,150,class_150,200,"8""",345,298.58,22,8,M20,27.0,269.9,2,-,-,-,-,-,-,-,-,R48,273,247.65,6.35,8.74,0.8,21.34
12,150,class_150,250,"10""",405,362.0,26,12,M24,28.6,323.8,2,-,-,-,-,-,-,-,-,R52,330,304.8,6.35,8.74,0.8,30.42
13,150,class_150,300,"12""",485,431.8,26,12,M24,30.2,381.0,2,-,-,-,-,-,-,-,-,R56,406,381,6.35,8.74,0.8,45.0
14,150,class_150,350,"14""",535,476.3,30,12,M27,33.4,412.8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.11
15,150,class_150,400,"16""",595,539.8,30,16,M27,35.0,469.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84.9
16,150,class_150,450,"18""",635,577.9,33,16,M30,38.1,533.4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.52
17,150,class_150,500,"20""",700,635.0,33,20,M30,41.3,584.2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128.48
18,150,class_150,600,"24""",815,749.3,36,20,M33,46.1,692.2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188.41
19,300,class_300,15,"1/2""",95,66.7,16,4,M14,12.7,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R11,51,34.14,5.54,7.14,0.8,0.91
20,300,class_300,20,"3/4""",115,82.6,18,4,M16,14.3,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R13,63.5,42.88,6.35,8.74,0.8,1.36
21,300,class_300,25,"1""",125,88.9,18,4,M16,15.9,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,70,50.8,6.35,8.74,0.8,1.82
22,300,class_300,32,"1 1/4""",135,98.4,18,4,M16,17.5,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,79.5,60.33,6.35,8.74,0.8,2.72
23,300,class_300,40,"1 1/2""",155,114.3,22,4,M20,19.1,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,90.5,68.27,6.35,8.74,0.8,3.18
24,300,class_300,50,"2""",165,127.0,18,8,M16,20.7,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R23,108,82.55,7.92,11.91,0.8,3.63
25,300,class_300,65,"2 1/2""",190,149.2,22,8,M20,23.9,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R26,127,101.6,7.92,11.91,0.8,5.45
26,300,class_300,80,"3""",210,168.3,22,8,M20,27.0,127.0,2,2,138,108,127,128.6,106.4,7,5,R31,146,123.83,7.92,11.91,0.8,7.26
27,300,class_300,100,"4""",255,200.0,22,8,M20,30.2,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R37,175,149.23,7.92,11.91,0.8,12.71
28,300,class_300,125,"5""",280,235.0,22,8,M20,33.4,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R41,210,180.98,7.92,11.91,0.8,16.8
29,300,class_300,150,"6""",320,269.9,22,12,M20,35.0,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R45,241,211.12,7.92,11.91,0.8,21.79
30,300,class_300,200,"8""",380,330.2,26,12,M24,39.7,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R49,302,269.88,7.92,11.91,0.8,35.87
31,300,class_300,250,"10""",445,387.4,30,16,M27,46.1,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R53,356,323.85,7.92,11.91,0.8,55.39
32,300,class_300,300,"12""",520,450.8,33,16,M30,49.3,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R57,413,381,7.92,11.91,0.8,83.08
33,300,class_300,350,"14""",585,514.4,33,20,M30,52.4,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,R61,457,419.1,7.92,11.91,0.8,109.41
34,300,class_300,400,"16""",650,571.5,36,20,M33,55.6,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,R65,508,469.9,7.92,11.91,0.8,143.01
35,300,class_300,450,"18""",710,628.6,36,24,M33,58.8,533.4,2,2,544,489,533.4,535,487.4,7,5,R69,575,533.4,7.92,11.91,0.8,187.96
36,300,class_300,500,"20""",775,685.8,36,24,M33,62.0,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,R73,635,584.2,9.53,13.49,1.5,233.81
37,300,class_300,600,"24""",915,812.8,42,24,M39*3,68.3,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,R77,749,692.15,11.13,16.66,1.5,363.2
38,600,class_600,15,"1/2""",95,66.7,16,4,M14,14.3,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R11,51,34.14,5.54,7.14,0.8,0.91
39,600,class_600,20,"3/4""",115,82.6,18,4,M16,15.9,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R13,63.5,42.88,6.35,8.74,0.8,1.36
40,600,class_600,25,"1""",125,88.9,18,4,M16,17.5,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,70,50.8,6.35,8.74,0.8,1.82
41,600,class_600,32,"1 1/4""",135,98.4,18,4,M16,20.7,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,79.5,60.33,6.35,8.74,0.8,2.72
42,600,class_600,40,"1 1/2""",155,114.3,22,4,M20,22.3,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,90.5,68.27,6.35,8.74,0.8,3.63
43,600,class_600,50,"2""",165,127.0,18,8,M16,25.4,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R23,108,82.55,7.92,11.91,0.8,4.54
44,600,class_600,65,"2 1/2""",190,149.2,22,8,M20,28.6,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R26,127,101.6,7.92,11.91,0.8,6.81
45,600,class_600,80,"3""",210,168.3,22,8,M20,31.8,127.0,2,2,138,108,127,128.6,106.4,7,5,R31,146,123.83,7.92,11.91,0.8,9.08
46,600,class_600,100,"4""",275,215.9,26,8,M24,38.1,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R37,175,149.23,7.92,11.91,0.8,18.61
47,600,class_600,125,"5""",330,266.7,30,8,M27,44.5,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R41,210,180.98,7.92,11.91,0.8,30.87
48,600,class_600,150,"6""",355,292.1,30,12,M27,47.7,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R45,241,211.12,7.92,11.91,0.8,39.04
49,600,class_600,200,"8""",420,349.2,33,12,M30,55.6,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R49,302,269.88,7.92,11.91,0.8,63.11
50,600,class_600,250,"10""",510,431.8,36,16,M33,63.5,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R53,356,323.85,7.92,11.91,0.8,104.87
51,600,class_600,300,"12""",560,489.0,36,20,M33,66.7,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R57,413,381,7.92,11.91,0.8,133.93
52,600,class_600,350,"14""",605,527.0,39,20,M36*3,69.9,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,R61,457,419.1,7.92,11.91,0.8,148.91
53,600,class_600,400,"16""",685,603.2,42,20,M39*3,76.2,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,R65,508,469.9,7.92,11.91,0.8,239.26
54,600,class_600,450,"18""",745,654.0,45,20,M42*3,82.6,533.4,2,2,544,489,533.4,535,487.4,7,5,R69,575,533.4,7.92,11.91,0.8,301.91
55,600,class_600,500,"20""",815,723.9,45,24,M42*3,88.9,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,R73,635,584.2,9.53,13.49,1.5,388.17
56,600,class_600,600,"24""",940,838.2,51,24,M48*3,101.6,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,R77,749,692.15,11.13,16.66,1.5,533.45
57,900,class_900,15,"1/2""",120,82.6,22,4,M20,22.3,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R12,60.5,39.67,6.35,8.74,0.8,1.82
58,900,class_900,20,"3/4""",130,88.9,22,4,M20,25.4,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R14,66.5,44.45,6.35,8.74,0.8,2.72
59,900,class_900,25,"1""",150,101.6,26,4,M24,28.6,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,71.5,50.8,6.35,8.74,0.8,4.09
60,900,class_900,32,"1 1/4""",160,111.1,26,4,M24,28.6,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,81,60.33,6.35,8.74,0.8,4.54
61,900,class_900,40,"1 1/2""",180,123.8,30,4,M27,31.8,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,92,68.27,6.35,8.74,0.8,6.36
62,900,class_900,50,"2""",215,165.1,26,8,M24,38.1,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R24,124,95.25,7.92,11.91,0.8,11.35
63,900,class_900,65,"2 1/2""",245,190.5,30,8,M27,41.3,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R27,137,107.95,7.92,11.91,0.8,15.89
