,Class,PN,DN2,DN,D,K,L,Th,n,C,RF_d,RF_f1,f2,c_num,RJ_d,P,E,F,RJ_r,m_kg
0,150,class_150,650,"26""",870,806.4,36,M33,24,66.7,749,2,-,-,-,-,-,-,-,318.8
1,150,class_150,700,"28""",925,863.6,36,M33,28,69.9,800,2,-,-,-,-,-,-,-,378.2
2,150,class_150,750,"30""",985,914.4,36,M33,28,73.1,857,2,-,-,-,-,-,-,-,445.9
3,150,class_150,800,"32""",1060,977.9,42,M39,28,79.4,914,2,-,-,-,-,-,-,-,561.6
4,150,class_150,850,"34""",1110,1028.7,42,M39,32,81.0,965,2,-,-,-,-,-,-,-,628.4
5,150,class_150,900,"36""",1170,1085.8,42,M39,32,88.9,1022,2,-,-,-,-,-,-,-,761.0
6,150,class_150,950,"38""",1240,1149.4,42,M39,32,85.8,1073,2,-,-,-,-,-,-,-,825.9
7,150,class_150,1000,"40""",1290,1200.2,42,M39,36,88.9,1124,2,-,-,-,-,-,-,-,926.2
8,150,class_150,1050,"42""",1345,1257.3,42,M39,36,95.3,1194,2,-,-,-,-,-,-,-,1081.0
9,150,class_150,1100,"44""",1405,1314.4,42,M39,40,100.1,1245,2,-,-,-,-,-,-,-,1233.6
10,150,class_150,1150,"46""",1455,1365.2,42,M39,40,101.6,1295,2,-,-,-,-,-,-,-,1344.3
11,150,class_150,1200,"48""",1510,1422.4,42,M39,44,106.4,1359,2,-,-,-,-,-,-,-,1520.0
12,150,class_150,1250,"50""",1570,1479.6,48,M45,44,109.6,1410,2,-,-,-,-,-,-,-,1687.1
13,150,class_150,1300,"52""",1625,1536.7,48,M45,44,114.3,1461,2,-,-,-,-,-,-,-,1886.9
14,150,class_150,1350,"54""",1685,1593.8,48,M45,44,119.1,1511,2,-,-,-,-,-,-,-,2106.2
15,150,class_150,1400,"56""",1745,1651.0,48,M45,48,122.3,1575,2,-,-,-,-,-,-,-,2330.0
16,150,class_150,1450,"58""",1805,1708.2,48,M45,48,127.0,1626,2,-,-,-,-,-,-,-,2576.5
17,150,class_150,1500,"60""",1855,1759.0,48,M45,52,130.2,1676,2,-,-,-,-,-,-,-,2794.0
18,300,class_300,650,"26""",970,876.3,45,M42,28,77.8,749,2,-,R93,810,749.3,12.7,19.84,1.5,489.5
19,300,class_300,700,"28""",1035,939.8,45,M42,28,84.2,800,2,-,R94,861,800.1,12.7,19.84,1.5,597.1
20,300,class_300,750,"30""",1090,997.0,48,M45,28,90.5,857,2,-,R95,917,857.25,12.7,19.84,1.5,700.6
21,300,class_300,800,"32""",1150,1054.1,51,M48,28,96.9,914,2,-,R96,984,914.4,14.27,23.01,1.5,815.0
22,300,class_300,850,"34""",1205,1104.9,51,M48,28,100.1,965,2,-,R97,1035,965.2,14.27,23.01,1.5,938.9
23,300,class_300,900,"36""",1270,1168.4,55,M52,32,103.2,1022,2,-,R98,1092,1022.35,14.27,23.01,1.5,1106.0
24,300,class_300,950,"38""",1170,1092.2,42,M39,32,106.4,1029,2,-,-,-,-,-,-,-,908.5
25,300,class_300,1000,"40""",1240,1155.7,45,M42,32,112.8,1086,2,-,-,-,-,-,-,-,1080.6
26,300,class_300,1050,"42""",1290,1206.5,45,M42,32,117.5,1137,2,-,-,-,-,-,-,-,1220.4
27,300,class_300,1100,"44""",1355,1263.6,48,M45,32,122.3,1194,2,-,-,-,-,-,-,-,1397.9
28,300,class_300,1150,"46""",1415,1320.8,51,M48,32,127.0,1245,2,-,-,-,-,-,-,-,1588.6
29,300,class_300,1200,"48""",1465,1371.6,51,M48,32,131.8,1302,2,-,-,-,-,-,-,-,1768.8
30,300,class_300,1250,"50""",1530,1428.8,55,M52,32,138.2,1359,2,-,-,-,-,-,-,-,2016.7
31,300,class_300,1300,"52""",1580,1479.6,55,M52,32,142.9,1410,2,-,-,-,-,-,-,-,2227.4
32,300,class_300,1350,"54""",1660,1549.4,60,M56,32,150.9,1467,2,-,-,-,-,-,-,-,2580.6
33,300,class_300,1400,"56""",1710,1600.2,60,M56,32,152.4,1518,2,-,-,-,-,-,-,-,2768.5
34,300,class_300,1450,"58""",1760,1651.0,60,M56,32,157.2,1575,2,-,-,-,-,-,-,-,3027.8
35,300,class_300,1500,"60""",1810,1701.8,60,M56,32,162.0,1626,2,-,-,-,-,-,-,-,3302.4
36,600,class_600,650,"26""",1015,914.4,51,M48,28,125.5,749,7,-,R93,810,749.3,12.7,19.84,1.5,798.6
37,600,class_600,700,"28""",1075,965.2,55,M52,28,131.8,800,7,-,R94,861,800.1,12.7,19.84,1.5,935.7
38,600,class_600,750,"30""",1130,1022.4,55,M52,28,139.7,857,7,-,R95,917,857.25,12.7,19.84,1.5,1100.1
39,600,class_600,800,"32""",1195,1079.5,60,M56,28,147.7,914,7,-,R96,984,914.4,14.27,23.01,1.5,1296.7
40,600,class_600,850,"34""",1245,1130.3,60,M56,28,154.0,965,7,-,R97,1035,965.2,14.27,23.01,1.5,1469.6
41,600,class_600,900,"36""",1315,1193.8,68,M64,28,162.0,1022,7,-,R98,1092,1022.35,14.27,23.01,1.5,1726.2
42,600,class_600,950,"38""",1270,1162.0,60,M56,28,155.0,1054,7,-,-,-,-,-,-,-,1545.5
43,600,class_600,1000,"40""",1320,1212.8,60,M56,32,162.0,1111,7,-,-,-,-,-,-,-,1742.5
44,600,class_600,1050,"42""",1405,1282.7,68,M64,32,171.5,1168,7,-,-,-,-,-,-,-,2081.6
45,600,class_600,1100,"44""",1455,1333.5,68,M64,32,177.8,1226,7,-,-,-,-,-,-,-,2317.7
46,600,class_600,1150,"46""",1510,1390.6,68,M64,32,185.8,1276,7,-,-,-,-,-,-,-,2614.2
47,600,class_600,1200,"48""",1595,1460.5,74,M70,32,195.3,1334,7,-,-,-,-,-,-,-,3058.6
48,600,class_600,1250,"50""",1670,1524.0,80,M76,32,203.2,1384,7,-,-,-,-,-,-,-,349436.0
49,600,class_600,1300,"52""",1720,1574.8,80,M76,32,209.6,1435,7,-,-,-,-,-,-,-,3825.5
50,600,class_600,1350,"54""",1780,1632.0,80,M76,32,217.5,1492,7,-,-,-,-,-,-,-,4237.2
51,600,class_600,1400,"56""",1855,1695.4,86,M82,32,225.5,1543,7,-,-,-,-,-,-,-,4780.2
