,Class,PN,DN2,DN,A1_A,D,K,L,Th,n,C,N_A,R,H,RF_d,RF_f1,f2,c_num,RJ_d,P,E,F,RJ_r,m_kg,LSR,LZR
0,150,class_150,650,"26""",660.4,870,806.4,36,M33,24,66.7,676,10,119,749,2,-,-,-,-,-,-,-,136.2,185,230
1,150,class_150,700,"28""",711.2,925,863.6,36,M33,28,69.9,727,11,124,800,2,-,-,-,-,-,-,-,156.7,195,235
2,150,class_150,750,"30""",762.0,985,914.4,36,M33,28,73.1,781,11,135,857,2,-,-,-,-,-,-,-,181.6,200,245
3,150,class_150,800,"32""",812.8,1060,977.9,42,M39,28,79.4,832,11,143,914,2,-,-,-,-,-,-,-,229.3,220,270
4,150,class_150,850,"34""",863.6,1110,1028.7,42,M39,32,81.0,883,13,148,965,2,-,-,-,-,-,-,-,245.2,225,275
5,150,class_150,900,"36""",914.4,1170,1085.8,42,M39,32,88.9,933,13,156,1022,2,-,-,-,-,-,-,-,290.6,240,290
6,150,class_150,950,"38""",965.2,1240,1149.4,42,M39,32,85.8,991,13,156,1073,2,-,-,-,-,-,-,-,326.9,235,285
7,150,class_150,1000,"40""",1016.0,1290,1200.2,42,M39,36,88.9,1041,13,162,1124,2,-,-,-,-,-,-,-,351.9,240,290
8,150,class_150,1050,"42""",1066.8,1345,1257.3,42,M39,36,95.3,1092,13,170,1194,2,-,-,-,-,-,-,-,404.1,250,300
9,150,class_150,1100,"44""",1117.6,1405,1314.4,42,M39,40,100.1,1143,13,176,1245,2,-,-,-,-,-,-,-,449.5,260,310
10,150,class_150,1150,"46""",1168.4,1455,1365.2,42,M39,40,101.6,1197,13,184,1295,2,-,-,-,-,-,-,-,481.3,265,315
11,150,class_150,1200,"48""",1219.2,1510,1422.4,42,M39,44,106.4,1248,13,191,1359,2,-,-,-,-,-,-,-,538.0,275,325
12,150,class_150,1250,"50""",1270.0,1570,1479.6,48,M45,44,109.6,1302,13,202,1410,2,-,-,-,-,-,-,-,576.6,290,345
13,150,class_150,1300,"52""",1320.8,1625,1536.7,48,M45,44,114.3,1353,13,208,1461,2,-,-,-,-,-,-,-,640.2,300,350
14,150,class_150,1350,"54""",1371.6,1685,1593.8,48,M45,44,119.1,1403,13,214,1511,2,-,-,-,-,-,-,-,719.6,310,360
