,Class,PN,DN2,DN,A1_A,D,K,L,Th,n,C,N_A,R,H,RF_d,RF_f1,f2,m_kg,LSR,LZR
0,150,class_150,650,"26""",661.9,785,744.5,22,M20,36,39.8,684,10,87,711,2,-,54.5,115,145
1,150,class_150,700,"28""",712.7,835,795.3,22,M20,40,43.0,735,10,94,762,2,-,63.6,125,150
2,150,class_150,750,"30""",763.5,885,846.1,22,M20,44,43.0,787,10,98,813,2,-,68.1,125,150
3,150,class_150,800,"32""",814.3,940,900.1,22,M20,48,44.6,840,10,106,864,2,-,77.2,125,155
4,150,class_150,850,"34""",865.1,1005,957.3,26,M24,40,47.7,892,10,109,921,2,-,95.4,135,170
5,150,class_150,900,"36""",915.9,1055,1009.6,26,M24,44,50.9,945,10,116,972,2,-,109.0,145,175
6,150,class_150,950,"38""",968.2,1125,1070.0,30,M27,40,52.5,997,10,122,1022,2,-,131.7,150,185
7,150,class_150,1000,"40""",1019.0,1175,1120.8,30,M27,44,54.1,1049,10,127,1080,2,-,140.8,155,190
8,150,class_150,1050,"42""",1069.8,1225,1171.6,30,M27,48,57.3,1102,11,132,1130,2,-,156.7,160,195
9,150,class_150,1100,"44""",1120.6,1275,1222.4,30,M27,52,58.9,1153,11,135,1181,2,-,168.0,165,200
10,150,class_150,1150,"46""",1171.4,1340,1284.3,33,M30,40,60.4,1205,11,143,1235,2,-,197.5,170,210
11,150,class_150,1200,"48""",1222.2,1390,1335.1,33,M30,44,63.6,1257,11,148,1289,2,-,218.0,175,215
12,150,class_150,1250,"50""",1273.0,1445,1385.9,33,M30,48,66.8,1308,11,152,1340,2,-,236.1,185,225
13,150,class_150,1300,"52""",1323.8,1495,1436.7,33,M30,52,68.4,1360,11,156,1391,2,-,249.7,185,225
14,150,class_150,1350,"54""",1374.6,1550,1492.2,33,M30,56,70.0,1413,11,160,1441,2,-,281.5,190,230
15,150,class_150,1400,"56""",1425.4,1600,1543.0,33,M30,60,71.6,1465,14,165,1492,2,-,295.1,195,235
16,150,class_150,1450,"58""",1476.2,1675,1611.3,36,M33,48,73.1,1516,14,173,1543,2,-,354.2,200,245
17,150,class_150,1500,"60""",1527.0,1725,1662.1,36,M33,52,74.7,1570,14,178,1600,2,-,385.9,205,250
18,300,class_300,650,"26""",665.2,865,803.3,36,M33,32,87.4,702,14,143,737,2,-,181.6,-,275
19,300,class_300,700,"28""",716.0,920,857.2,36,M33,36,87.4,756,14,148,787,2,-,204.3,-,275
20,300,class_300,750,"30""",768.4,990,920.8,39,M36*3,36,92.1,813,14,156,845,2,-,249.7,-,290
